Precinct,G1_Burglary,G1_GLA,G1_GL,G1_Robbery,G1,G2,G3_Murder,G3_Rape,G3,total
1,187,42,985,81,1295,110,1,10,11,1416
5,137,21,549,121,828,156,3,12,15,999
6,139,35,1124,147,1445,119,1,14,15,1579
7,93,32,350,147,622,122,0,19,19,763
9,193,59,802,177,1231,172,1,15,16,1419
10,91,27,764,113,995,82,3,10,13,1090
13,185,37,1462,181,1865,132,1,17,18,2015
14,315,18,2172,183,2688,191,1,9,10,2889
17,136,24,724,47,931,81,2,10,12,1024
18,171,44,1827,123,2165,129,4,14,18,2312
19,240,77,1447,129,1893,120,0,16,16,2029
20,105,41,721,94,961,51,2,12,14,1026
22,2,0,76,15,93,7,0,1,1,101
23,103,26,320,270,719,262,2,29,31,1012
24,134,46,581,177,938,134,4,10,14,1086
25,133,34,320,244,731,286,10,29,39,1056
26,60,23,322,144,549,113,3,10,13,675
28,101,20,349,210,680,241,5,18,23,944
30,149,28,234,256,667,188,2,11,13,868
32,109,40,314,243,706,281,11,31,42,1029
33,163,43,278,215,699,179,2,19,21,899
34,262,79,341,245,927,207,5,19,24,1158
40,159,78,479,480,1196,392,12,26,38,1626
41,203,58,321,329,911,556,8,12,20,1487
42,165,112,289,338,904,341,8,31,39,1284
43,347,221,684,583,1835,544,18,37,55,2434
44,291,151,598,452,1492,668,8,34,42,2202
45,226,151,402,189,968,188,2,17,19,1175
46,226,92,411,391,1120,450,13,31,44,1614
47,394,251,410,506,1561,516,16,30,46,2123
48,208,96,473,439,1216,384,8,20,28,1628
49,345,182,422,331,1280,266,8,18,26,1572
50,179,100,422,146,847,131,6,10,16,994
52,413,138,634,545,1730,398,6,24,30,2158
60,257,77,566,299,1199,213,4,23,27,1439
61,370,128,752,258,1508,147,3,10,13,1668
62,256,131,505,214,1106,184,4,8,12,1302
63,251,106,532,238,1127,236,8,15,23,1386
66,324,101,466,182,1073,162,1,7,8,1243
67,448,208,645,492,1793,590,15,32,47,2430
68,203,113,396,111,823,109,1,16,17,949
69,307,78,312,220,917,204,4,7,11,1132
70,355,118,738,387,1598,264,11,15,26,1888
71,211,126,618,322,1277,349,3,16,19,1645
72,177,112,392,209,890,231,2,23,25,1146
73,316,155,490,578,1539,663,15,35,50,2252
75,657,281,990,847,2775,909,18,75,93,3777
76,101,48,240,114,503,119,0,8,8,630
77,309,114,412,358,1193,339,10,20,30,1562
78,178,53,547,175,953,86,1,3,4,1043
79,325,100,471,476,1372,515,11,18,29,1916
81,335,96,433,350,1214,318,16,21,37,1569
83,519,179,429,471,1598,380,9,38,47,2025
84,140,23,553,181,897,134,3,5,8,1039
88,205,81,391,266,943,205,4,10,14,1162
90,348,124,600,385,1457,239,5,12,17,1713
94,211,90,417,134,852,88,0,12,12,952
100,208,30,183,53,474,132,2,4,6,612
101,237,55,196,143,631,245,7,14,21,897
102,313,232,441,322,1308,260,7,30,37,1605
103,310,175,494,439,1418,377,10,34,44,1839
104,388,209,529,279,1405,255,1,15,16,1676
105,534,320,488,352,1694,291,8,33,41,2026
106,372,220,486,310,1388,193,2,15,17,1598
107,262,172,465,243,1142,130,2,10,12,1284
108,243,136,470,193,1042,144,4,16,20,1206
109,436,213,771,267,1687,263,4,11,15,1965
110,314,113,670,350,1447,292,8,25,33,1772
111,243,96,394,73,806,63,1,6,7,876
112,143,78,495,102,818,84,0,7,7,909
113,452,270,763,354,1839,487,16,29,45,2371
114,472,193,700,322,1687,355,6,41,47,2089
115,336,171,548,338,1393,329,5,40,45,1767
120,285,103,351,203,942,342,5,26,31,1315
121,170,101,300,105,676,163,3,15,18,857
122,197,67,294,108,666,119,1,15,16,801
123,88,31,181,30,330,60,1,5,6,396
