Precinct,crime2012,crime2001
1,1416,3048
5,999,1382
6,1579,2120
7,763,893
9,1419,1663
10,1090,928
13,2015,3018
14,2889,6086
17,1024,1948
18,2312,5296
19,2029,3725
20,1026,1493
22,101,127
23,1012,1321
24,1086,1503
25,1056,1052
26,675,945
28,944,962
30,868,1207
32,1029,1562
33,-25.52,899
34,1158,1699
40,1626,2120
41,1487,1397
42,1284,1645
43,2434,3326
44,2202,2891
45,1175,1893
46,1614,2750
47,2123,2338
48,1628,1929
49,1572,2087
50,994,1485
52,2158,3052
60,1439,1812
61,1668,2596
62,1302,2207
63,1386,1818
66,1243,1862
67,2430,3623
68,949,1688
69,1132,1752
70,1888,3686
71,1645,2651
72,1146,1940
73,2252,2597
75,3777,4473
76,630,732
77,1562,2356
78,1043,1328
79,1916,2371
81,1569,1680
83,2025,2293
84,1039,1684
88,1162,1537
90,1713,2014
94,952,968
100,612,447
101,897,1134
102,1605,2594
103,1839,2481
104,1676,2874
105,2026,2776
106,1598,2184
107,1284,2553
108,1206,2319
109,1965,3956
110,1772,2565
111,876,1528
112,909,1954
113,2371,2650
114,2089,3481
115,1767,2759
120,1315,2085
121,857,0
122,801,1444
123,396,514
