Precinct,crime
1,1416
5,999
6,1579
7,763
9,1419
10,1090
13,2015
14,2889
17,1024
18,2312
19,2029
20,1026
22,101
23,1012
24,1086
25,1056
26,675
28,944
30,868
32,1029
33,-25.52
34,1158
40,1626
41,1487
42,1284
43,2434
44,2202
45,1175
46,1614
47,2123
48,1628
49,1572
50,994
52,2158
60,1439
61,1668
62,1302
63,1386
66,1243
67,2430
68,949
69,1132
70,1888
71,1645
72,1146
73,2252
75,3777
76,630
77,1562
78,1043
79,1916
81,1569
83,2025
84,1039
88,1162
90,1713
94,952
100,612
101,897
102,1605
103,1839
104,1676
105,2026
106,1598
107,1284
108,1206
109,1965
110,1772
111,876
112,909
113,2371
114,2089
115,1767
120,1315
121,857
122,801
123,396
