Precinct,Frisk_Crime_ratio,Crime_Pop_ratio,Frisk_Pop_ratio,Black_Frisk_Pop,Black_Pop_share,Black_Frisk_share,Hisp_Frisk_Pop,Hisp_Pop_share,Hisp_Frisk_share,White_Frisk_Pop,White_Pop_share,White_Frisk_share,TotCrime_01_12,Vcrime_01_12,Frisk_03_12,Success,Arrest,Weap_Nonweap,PhysForce,Duration,Seasonality,K_race,K_nonrace,Precinct_Crime_Share_2001,Precinct_Crime_Share_2012,Precinct_Stop_Share,Count_Day_1,Count_Day_2,Count_Day_3,Count_Day_4,Count_Day_5,Count_Day_6,Count_Day_7,Count_Day_8,Count_Day_9,Count_Day_10,Count_Day_11,Count_Day_12,Count_Day_13,Count_Day_14,Count_Day_15,Count_Day_16,Count_Day_17,Count_Day_18,Count_Day_19,Count_Day_20,Count_Day_21,Count_Day_22,Count_Day_23,Count_Day_24,Count_Day_25,Count_Day_26,Count_Day_27,Count_Day_28,Count_Day_29,Count_Day_30,Count_Day_31,Counts_2003,Counts_2004,Counts_2005,Counts_2006,Counts_2007,Counts_2008,Counts_2009,Counts_2010,Counts_2011,Counts_2012,PP_Desc,blank,highlight
1,21.10169492,36.9947041,79.60654193,123.5642185,4.485253689,55.4216867,21.77804021,7.760540864,16.9009371,2.537330318,74.39118929,18.875502,-53.54330709,-30.05780347,410.3852596,2.592714145,6.202822448,102.5641026,28.4213981,5.184115523,67.30460466,1,2,1.880738474,1.280775701,0.57415709,75.80645161,86.29032258,89.51612903,83.87096774,88.70967742,94.35483871,58.06451613,92.74193548,89.51612903,91.93548387,95.16129032,78.22580645,52.41935484,66.12903226,69.35483871,100,87.09677419,69.35483871,75,79.83870968,80.64516129,75.80645161,85.48387097,62.09677419,50.80645161,67.74193548,95.16129032,82.25806452,69.35483871,83.06451613,33.87096774,16.5282392,21.84385382,37.12624585,71.29014396,52.18715393,68.96456257,71.29014396,67.60797342,100,84.35769657," 16 Ericsson Place, New York, NY, 10013-2411  (212) 334-0611  The 1st Precinct encompasses an area that consists of only one square mile but is extensive in its wide array of commercial, residential and tourist attractions. The coordinated efforts of all units, both within and outside the command, including Patrol, Conditions, Anti - Crime, Scooter Task Force, Transit Police Department and the Port Authority Police have led to a more organized approach to address various conditions within the Pr",0,0
5,27.2972973,12.59945055,34.75884455,91.4600046,4.177835751,38.2104877,23.86517289,11.04788556,26.3659699,3.925057772,41.57467087,16.3182985,-27.71345876,20.42253521,347.4025974,4.100145138,11.03047896,48.71794872,26.99564586,6.707803993,77.03632932,1,1,0.852749531,0.903598111,0.51932292,69.92481203,59.39849624,71.42857143,100,51.12781955,75.18796992,53.38345865,75.18796992,76.69172932,73.68421053,73.68421053,66.91729323,65.41353383,95.4887218,70.67669173,78.94736842,63.90977444,70.67669173,63.90977444,69.92481203,52.63157895,79.69924812,62.40601504,59.39849624,48.87218045,63.15789474,65.41353383,70.67669173,51.12781955,39.09774436,32.33082707,19.8325821,29.55569865,76.40051513,92.24082421,90.59884095,100,92.24082421,92.04764971,99.6780425,88.73148744," 19 Elizabeth Street, New York, NY, 10013-4803  (212) 334-0711 The 5th Precinct is comprised of one of the largest Asian populations within New York City. There are many specialty shops, restaurants and stores in the Chinatown Area in lower Manhattan.      ",0,0
6,22.49525016,19.1106226,43.57076716,300.662809,1.986976414,59.740991,33.80673768,5.59619774,18.9189189,1.80803033,86.26429844,15.5968468,-25.51886792,-10.06711409,407.0422535,2.75,5.555555556,88.42105263,32.41666667,5.7025,47.54609878,1,2,1.308125185,1.428209628,0.678360854,59.25925926,70.37037037,66.66666667,67.90123457,85.18518519,92.59259259,69.13580247,54.9382716,69.75308642,74.69135802,89.50617284,80.24691358,79.01234568,61.11111111,84.56790123,51.2345679,60.49382716,60.49382716,66.66666667,82.71604938,62.34567901,69.75308642,78.39506173,100,82.09876543,74.07407407,79.01234568,67.90123457,59.25925926,48.7654321,44.44444444,19.72222222,50.86111111,58.41666667,64.13888889,86.16666667,91.11111111,64.13888889,96.38888889,81.25,100," 233 West 10th Street, New York, NY, 10014-2978  (212) 741-4811  The Sixth Precinct encompasses the southern Manhattan neighborhoods of Greenwich Village and the West Village. Its areas of interest include Christopher Street, Washington Square Park and Broadway. In the west, its narrow, tree-lined streets follow the cityó»s original horse paths. At the commandó»s northern border lie the High Line Park and the Meatpacking District, the cityó»s premiere nightlife destination. The precinct consists",0,0
7,44.32503277,11.81715894,53.9438592,46.56508754,8.629495965,40.1833235,13.63512849,31.31369772,42.6966292,3.845423292,30.67998476,11.7977528,-14.55767077,2.919708029,112.5076266,4.536319265,10.93884582,87.25490196,19.37984496,6.084171215,54.06964936,1,1,0.551016882,0.690135494,0.656314126,88.60759494,68.35443038,68.35443038,84.81012658,65.82278481,100,69.62025316,62.02531646,88.60759494,70.88607595,74.05063291,76.58227848,80.37974684,62.02531646,68.98734177,69.62025316,76.58227848,73.41772152,67.72151899,72.15189873,56.96202532,74.6835443,72.78481013,73.41772152,55.69620253,61.39240506,63.92405063,51.26582278,61.39240506,46.83544304,33.5443038,33.36047222,50.41726033,59.59698758,77.28475473,100,86.99369021,77.28475473,65.17402809,84.46977407,70.89354773," 19 1/2 Pitt Street, New York, NY, 10013  (212) 477-7311  The 7th Precinct services the Lower East Side of Manhattan. It is the second smallest precinct in the city consisting of only .62 square miles. The population is enhanced during working hours due to the thriving business on Orchard St. and the large transient population utilizing the Williamsburg Bridge and the 2 subway stations at Essex Street and Delancey and Essex St. and E. Broadway. The precinct has always been a true melting pot wit",0,0
9,36.0324172,16.37641322,60.25458311,34.9027567,9.795033038,34.1873655,14.48181389,26.69979423,38.6661451,3.654546314,55.92513336,20.438099,-14.67227901,-11.32075472,219.9142157,9.021260295,19.30664624,46,29.84102662,6.25321806,55.7456025,1,2,1.026137822,1.283489209,0.983811672,86.85446009,73.70892019,61.97183099,80.75117371,90.14084507,75.58685446,87.79342723,72.30046948,78.87323944,93.89671362,55.39906103,100,92.01877934,99.53051643,82.62910798,88.73239437,79.342723,68.54460094,80.75117371,99.53051643,84.50704225,70.89201878,66.66666667,68.54460094,61.50234742,47.88732394,85.91549296,66.1971831,74.64788732,79.342723,46.00938967,30.79826382,44.70654841,65.27646726,97.4523495,78.01471976,86.48801661,97.4523495,96.99943386,100,98.52802416," 321 East 5 Street, New York, NY, 10003-8802 (212) 477-7811 The 9th Precinct encompasses the area from East Houston Street to East 14 Street from Broadway to the East River in Manhattan. Our community prides itself on its diversity. It is comprised of both residential and commercial districts. The busy Broadway area has been revitalized with new shops, eateries, theatres and galleries. Many cultures are also represented in this area making it a true melting pot."" Being a relatively small command",0,0
10,21.33027523,29.35334728,63.71561437,74.7065777,7.323274481,54.7096774,16.22100657,13.62894886,22.1075269,2.328244887,72.7854561,16.9462366,17.45689655,-14.41441441,72.57476295,5.367709214,11.62299239,73.84615385,27.89518174,5.934488588,108.1008673,1,1,0.572613289,0.985907849,0.445833828,50,68.10344828,100,66.37931034,78.44827586,86.20689655,74.13793103,61.20689655,79.31034483,62.06896552,77.5862069,79.31034483,74.13793103,47.4137931,47.4137931,62.93103448,51.72413793,56.03448276,67.24137931,72.4137931,75.86206897,50.86206897,75.86206897,50,65.51724138,40.51724138,64.65517241,66.37931034,42.24137931,41.37931034,68.96551724,32.98051479,68.39066635,87.44286745,65.64830407,81.64541737,100,65.64830407,64.92662978,73.41833053,56.91604522," 230 West 20th Street, New York, NY, 10011-3502  (212) 741-8211 The 10th Precinctæservices Manhattan's residential communities of Chelsea and Clinton South. The Precinct is .93 square milesand has 25.45 miles of roadway. Inside the precinct boundaries are two (2) Housing Authority Developments (Fulton & Chelsea Elliott Houses), the Jacob Javits Convention Center, Chelsea Piers, West Side Heliport, Circle Line and World Yacht Cruise Lines, Chinese Consulate, and the Fashion Institute of Technolog",0,0
13,12.00496278,51.75985565,98.15107119,141.9142163,3.405279306,48.3257544,25.79322372,10.25742807,26.4572137,2.791614277,75.37485738,21.0417528,-33.23392975,-20.63492063,413.5752688,6.621303324,12.35278723,72.15189873,28.39570793,6.081130594,60.8420393,1,2,1.862227268,1.822572767,0.720004673,62.39316239,64.1025641,69.23076923,70.08547009,100,77.77777778,76.06837607,50.42735043,75.21367521,60.68376068,61.53846154,73.5042735,83.76068376,56.41025641,61.53846154,64.1025641,61.53846154,55.55555556,89.74358974,68.37606838,58.97435897,61.53846154,73.5042735,92.30769231,61.53846154,64.95726496,58.11965812,70.94017094,55.55555556,52.99145299,35.04273504,14.26653883,31.44774688,46.76893576,87.59348035,81.13135187,98.31255992,87.59348035,76.77852349,100,73.26941515," 230 East 21st Street, New York, NY, 10010-7460  (212) 477-7411  The 13th Precinct is located in the lower portion of mid-town Manhattan. Included in this area are the Peter Cooper/Stuyvesant Town residential complex (owned and operated by Met Life Insurance Company), Gramercy Park, the lower portion of Rosehill and a portion of Chelsea. The precinct is home to several major insurance companys (Met Life, New York Life & Guardian Life), major health care facilities (outlined below), Consolidated ",0,1
14,30.50190377,51.16828013,157.0825464,54.82562964,10.04712153,55.0839764,14.20955414,14.85449888,21.1075806,2.735301947,63.3518461,17.3286428,-52.53039763,-39.82035928,197.019424,5.58123802,5.355733454,77.68924303,18.04036532,5.665200722,44.45490031,1,3,3.755306546,2.613108052,1.671217337,75.36656891,86.2170088,72.14076246,80.64516129,78.59237537,92.08211144,76.24633431,83.57771261,99.70674487,83.57771261,85.92375367,96.77419355,87.09677419,84.45747801,87.39002933,85.3372434,76.83284457,81.81818182,83.28445748,84.16422287,87.09677419,61.29032258,98.24046921,95.01466276,88.26979472,100,99.70674487,90.90909091,72.4340176,65.98240469,43.98826979,24.71240586,34.91682529,53.3145742,83.17470827,80.00496565,92.6922122,83.17470827,100,87.49482744,73.40064554," 357 West 35th Street, New York, NY, 10001-1701  (212) 239-9811  Midtown Precinct South is primarily a commercial and entertainment oriented precinct. It has a small residential community composed of various ethnic and religious groups. The southern zone of the precinct is primarily residential and contains the Korean entertainment area, the Manhattan Mall Plaza and other commercial stores and loft buildings. There is a strip of hotels along 7th Avenue across from Penn Station. There is a reside",0,1
17,12.67578125,33.12490235,42.70006944,200.4789205,1.89838171,38.0585516,31.49980172,8.560231946,26.9645609,2.895850448,76.61991493,22.1879815,-47.43326489,-16.21621622,328.5714286,3.787878788,8.484848485,28.42105263,24.24242424,7.204855842,109.0776936,1,1,1.201994274,0.926210677,0.248732313,56.71641791,56.71641791,62.68656716,65.67164179,55.2238806,55.2238806,74.62686567,56.71641791,100,58.20895522,37.31343284,49.25373134,56.71641791,59.70149254,85.07462687,73.13432836,58.20895522,53.73134328,67.1641791,58.20895522,52.23880597,56.71641791,71.64179104,65.67164179,56.71641791,64.17910448,86.56716418,59.70149254,74.62686567,62.68656716,46.26865672,15.06112469,20.58679707,33.88753056,78.48410758,78.28850856,96.23471883,78.48410758,89.63325183,100,64.54767726," 167 East 51st Steet, New York, NY, 10022-6010  (212) 826-3211  The 17th Precinct is located in midtown Manhattan and comprised of the following communities: Sutton Area, Beekman Place, Kipps Bay, Turtle Bay, Murray Hill, Manhattan East and the Rose Hill Community. The Precinct serves three main constituents - residential, business and diplomatic communities.      ",0,0
18,10.03027682,73.20987049,93.82389544,104.688824,4.922285907,51.5308323,19.48453897,13.30097845,25.9163433,2.435444511,72.59469236,17.6800345,-56.34441088,-46.15384615,256.9879518,3.273709079,9.686128923,66.29213483,19.57475532,6.577702703,86.16037236,1,3,3.267844802,2.091210044,0.55832867,59.13043478,69.56521739,65.2173913,71.30434783,75.65217391,100,60,61.73913043,71.30434783,68.69565217,67.82608696,82.60869565,73.91304348,65.2173913,42.60869565,69.56521739,70.43478261,65.2173913,79.13043478,49.56521739,38.26086957,49.56521739,61.73913043,53.04347826,79.13043478,81.73913043,70.43478261,81.73913043,57.39130435,45.2173913,29.56521739,22.95988935,38.64453665,47.88381743,68.38174274,70.15214385,95.13139696,68.38174274,86.69432918,100,81.96403873," 306 West 54th Street, New York, NY, 10019-5102  (212) 767-8400  The Midtown North Precinct command serves the area of Midtown Manhattan. The Precinct includes some of the most visited tourist sites, The Diamond District, St. Patrick's Cathedral, the Theatre District, Restaurant Row, Radio City Music Hall, and Rockefeller Plaza. The west side of the command is comprised of a residential area.      ",0,0
