"fs[, 1]","V1"
"14000US36005000200",1
"14000US36005000400",1
"14000US36005001600",2
"14000US36005001900",1
"14000US36005002000",3
"14000US36005002300",2
"14000US36005002400",1
"14000US36005002500",3
"14000US36005002701",3
"14000US36005002702",2
"14000US36005002800",1
"14000US36005003100",1
"14000US36005003300",2
"14000US36005003500",2
"14000US36005003700",1
"14000US36005003800",1
"14000US36005003900",3
"14000US36005004001",1
"14000US36005004100",3
"14000US36005004200",2
"14000US36005004300",3
"14000US36005004400",2
"14000US36005004600",1
"14000US36005004800",2
"14000US36005005001",2
"14000US36005005002",2
"14000US36005005100",3
"14000US36005005200",1
"14000US36005005300",2
"14000US36005005400",2
"14000US36005005600",1
"14000US36005005902",1
"14000US36005006000",1
"14000US36005006100",1
"14000US36005006200",2
"14000US36005006300",2
"14000US36005006400",1
"14000US36005006500",2
"14000US36005006700",3
"14000US36005006800",1
"14000US36005006900",2
"14000US36005007000",1
"14000US36005007100",1
"14000US36005007200",2
"14000US36005007300",2
"14000US36005007400",1
"14000US36005007500",2
"14000US36005007600",2
"14000US36005007700",1
"14000US36005007800",2
"14000US36005007900",3
"14000US36005008300",2
"14000US36005008400",1
"14000US36005008500",2
"14000US36005008600",2
"14000US36005008700",3
"14000US36005008900",2
"14000US36005009000",2
"14000US36005009200",1
"14000US36005009300",3
"14000US36005009600",1
"14000US36005009800",1
"14000US36005011502",2
"14000US36005011700",1
"14000US36005011800",1
"14000US36005011900",3
"14000US36005012101",2
"14000US36005012102",1
"14000US36005012300",2
"14000US36005012500",2
"14000US36005012701",2
"14000US36005012901",2
"14000US36005013000",1
"14000US36005013100",2
"14000US36005013200",1
"14000US36005013300",2
"14000US36005013500",2
"14000US36005013800",1
"14000US36005014100",2
"14000US36005014300",1
"14000US36005014400",2
"14000US36005014500",2
"14000US36005014701",2
"14000US36005014702",2
"14000US36005014900",2
"14000US36005015100",2
"14000US36005015200",1
"14000US36005015300",2
"14000US36005015500",2
"14000US36005015700",2
"14000US36005015800",1
"14000US36005015900",2
"14000US36005016000",1
"14000US36005016100",2
"14000US36005016200",1
"14000US36005016300",1
"14000US36005016400",1
"14000US36005016500",1
"14000US36005016600",1
"14000US36005016700",1
"14000US36005016900",1
"14000US36005017100",1
"14000US36005017300",3
"14000US36005017500",3
"14000US36005017701",2
"14000US36005017702",2
"14000US36005017901",2
"14000US36005017902",2
"14000US36005018101",2
"14000US36005018102",3
"14000US36005018301",2
"14000US36005018302",1
"14000US36005018400",1
"14000US36005018500",2
"14000US36005018900",2
"14000US36005019300",2
"14000US36005019400",1
"14000US36005019500",2
"14000US36005019700",2
"14000US36005019900",2
"14000US36005020000",1
"14000US36005020100",2
"14000US36005020200",1
"14000US36005020400",1
"14000US36005020501",2
"14000US36005020502",1
"14000US36005020601",1
"14000US36005020900",2
"14000US36005021001",1
"14000US36005021002",2
"14000US36005021100",2
"14000US36005021200",1
"14000US36005021301",1
"14000US36005021302",2
"14000US36005021501",2
"14000US36005021502",2
"14000US36005021601",2
"14000US36005021602",1
"14000US36005021700",2
"14000US36005021800",2
"14000US36005021900",1
"14000US36005022000",1
"14000US36005022101",2
"14000US36005022102",2
"14000US36005022200",1
"14000US36005022300",3
"14000US36005022401",1
"14000US36005022403",2
"14000US36005022404",1
"14000US36005022500",3
"14000US36005022701",2
"14000US36005022702",1
"14000US36005022703",1
"14000US36005022800",2
"14000US36005022901",2
"14000US36005022902",2
"14000US36005023000",1
"14000US36005023100",1
"14000US36005023200",1
"14000US36005023301",2
"14000US36005023302",1
"14000US36005023501",2
"14000US36005023502",2
"14000US36005023600",1
"14000US36005023702",1
"14000US36005023703",2
"14000US36005023704",2
"14000US36005023800",1
"14000US36005023900",3
"14000US36005024000",2
"14000US36005024100",2
"14000US36005024300",2
"14000US36005024400",1
"14000US36005024501",2
"14000US36005024502",2
"14000US36005024600",1
"14000US36005024700",1
"14000US36005024800",1
"14000US36005024900",1
"14000US36005025000",1
"14000US36005025100",2
"14000US36005025200",1
"14000US36005025300",2
"14000US36005025400",1
"14000US36005025500",2
"14000US36005025600",1
"14000US36005025700",1
"14000US36005026100",1
"14000US36005026300",2
"14000US36005026400",1
"14000US36005026500",2
"14000US36005026601",1
"14000US36005026602",1
"14000US36005026701",1
"14000US36005026702",2
"14000US36005026900",1
"14000US36005027300",2
"14000US36005027401",1
"14000US36005027402",1
"14000US36005027700",2
"14000US36005027900",1
"14000US36005028100",1
"14000US36005028300",1
"14000US36005028400",1
"14000US36005028500",1
"14000US36005028600",1
"14000US36005028700",1
"14000US36005028800",1
"14000US36005028900",1
"14000US36005029301",1
"14000US36005029302",1
"14000US36005029500",1
"14000US36005029600",1
"14000US36005029700",1
"14000US36005030000",1
"14000US36005030100",1
"14000US36005030200",1
"14000US36005030701",1
"14000US36005030900",1
"14000US36005031000",1
"14000US36005031200",1
"14000US36005031400",1
"14000US36005031600",1
"14000US36005031800",1
"14000US36005032300",1
"14000US36005032400",1
"14000US36005032600",1
"14000US36005032800",2
"14000US36005033000",2
"14000US36005033201",1
"14000US36005033202",1
"14000US36005033400",1
"14000US36005033500",1
"14000US36005033600",3
"14000US36005033700",1
"14000US36005033800",1
"14000US36005034000",1
"14000US36005034200",1
"14000US36005034300",1
"14000US36005034400",1
"14000US36005034500",1
"14000US36005034800",2
"14000US36005035000",1
"14000US36005035100",1
"14000US36005035600",1
"14000US36005035800",1
"14000US36005035900",1
"14000US36005036000",1
"14000US36005036100",2
"14000US36005036300",2
"14000US36005036400",1
"14000US36005036501",2
"14000US36005036502",1
"14000US36005036700",1
"14000US36005036800",1
"14000US36005036901",1
"14000US36005036902",1
"14000US36005037000",1
"14000US36005037100",2
"14000US36005037200",1
"14000US36005037300",2
"14000US36005037400",2
"14000US36005037504",2
"14000US36005037600",1
"14000US36005037800",1
"14000US36005037900",2
"14000US36005038000",2
"14000US36005038100",2
"14000US36005038200",1
"14000US36005038301",2
"14000US36005038302",2
"14000US36005038500",2
"14000US36005038600",2
"14000US36005038700",2
"14000US36005038800",1
"14000US36005038900",2
"14000US36005039000",1
"14000US36005039100",2
"14000US36005039200",1
"14000US36005039300",2
"14000US36005039400",1
"14000US36005039500",2
"14000US36005039600",2
"14000US36005039700",1
"14000US36005039800",1
"14000US36005039901",2
"14000US36005039902",2
"14000US36005040100",3
"14000US36005040302",2
"14000US36005040303",2
"14000US36005040304",2
"14000US36005040400",1
"14000US36005040501",2
"14000US36005040502",2
"14000US36005040600",1
"14000US36005040701",1
"14000US36005040702",2
"14000US36005040800",1
"14000US36005040900",1
"14000US36005041100",1
"14000US36005041300",2
"14000US36005041400",1
"14000US36005041500",2
"14000US36005041800",1
"14000US36005041900",2
"14000US36005042000",2
"14000US36005042100",2
"14000US36005042200",1
"14000US36005042300",1
"14000US36005042400",1
"14000US36005042500",2
"14000US36005042600",1
"14000US36005042800",1
"14000US36005042901",1
"14000US36005042902",2
"14000US36005043000",1
"14000US36005043100",2
"14000US36005043400",2
"14000US36005043600",1
"14000US36005044200",1
"14000US36005044400",1
"14000US36005044800",1
"14000US36005044901",1
"14000US36005044902",1
"14000US36005045101",1
"14000US36005045102",1
"14000US36005045600",1
"14000US36005045800",2
"14000US36005046000",1
"14000US36005046201",2
"14000US36005046202",2
"14000US36005048400",1
"14000US36005050400",1
"14000US36005051600",1
"14000US36047000100",1
"14000US36047000200",1
"14000US36047000301",1
"14000US36047000501",1
"14000US36047000502",1
"14000US36047000700",1
"14000US36047000900",1
"14000US36047001100",1
"14000US36047001300",1
"14000US36047001500",2
"14000US36047001800",1
"14000US36047002000",1
"14000US36047002100",1
"14000US36047002200",1
"14000US36047002300",2
"14000US36047002901",2
"14000US36047003000",1
"14000US36047003100",1
"14000US36047003300",1
"14000US36047003400",1
"14000US36047003500",1
"14000US36047003600",1
"14000US36047003700",1
"14000US36047003800",1
"14000US36047003900",1
"14000US36047004100",1
"14000US36047004300",1
"14000US36047004400",1
"14000US36047004500",1
"14000US36047004600",1
"14000US36047004700",1
"14000US36047004900",1
"14000US36047005000",1
"14000US36047005100",1
"14000US36047005201",1
"14000US36047005202",1
"14000US36047005300",1
"14000US36047005400",1
"14000US36047005601",1
"14000US36047005602",1
"14000US36047005800",1
"14000US36047005900",1
"14000US36047006000",1
"14000US36047006200",1
"14000US36047006300",1
"14000US36047006400",1
"14000US36047006500",1
"14000US36047006600",1
"14000US36047006700",1
"14000US36047006800",1
"14000US36047006900",1
"14000US36047007000",1
"14000US36047007100",2
"14000US36047007200",1
"14000US36047007400",2
"14000US36047007500",1
"14000US36047007600",2
"14000US36047007700",1
"14000US36047007800",2
"14000US36047008000",1
"14000US36047008200",1
"14000US36047008400",1
"14000US36047008500",3
"14000US36047008600",1
"14000US36047008800",1
"14000US36047009000",1
"14000US36047009200",2
"14000US36047009400",1
"14000US36047009600",2
"14000US36047009800",2
"14000US36047010000",2
"14000US36047010100",1
"14000US36047010200",1
"14000US36047010400",1
"14000US36047010600",1
"14000US36047010800",1
"14000US36047011000",1
"14000US36047011200",2
"14000US36047011400",1
"14000US36047011600",1
"14000US36047011700",1
"14000US36047011800",1
"14000US36047011900",1
"14000US36047012000",1
"14000US36047012100",1
"14000US36047012200",1
"14000US36047012600",1
"14000US36047012700",2
"14000US36047012801",1
"14000US36047012901",1
"14000US36047012902",1
"14000US36047013000",1
"14000US36047013100",1
"14000US36047013200",1
"14000US36047013300",1
"14000US36047013400",1
"14000US36047013500",1
"14000US36047013600",1
"14000US36047013700",1
"14000US36047013800",1
"14000US36047013900",1
"14000US36047014000",1
"14000US36047014100",1
"14000US36047014200",1
"14000US36047014300",1
"14000US36047014500",1
"14000US36047014700",1
"14000US36047014800",1
"14000US36047014900",1
"14000US36047015000",1
"14000US36047015100",1
"14000US36047015200",1
"14000US36047015300",1
"14000US36047015400",1
"14000US36047015500",1
"14000US36047015700",1
"14000US36047015900",1
"14000US36047016000",1
"14000US36047016100",1
"14000US36047016200",1
"14000US36047016300",1
"14000US36047016500",1
"14000US36047016600",1
"14000US36047016700",1
"14000US36047016800",1
"14000US36047016900",1
"14000US36047017000",1
"14000US36047017100",1
"14000US36047017200",1
"14000US36047017400",1
"14000US36047017600",1
"14000US36047017700",1
"14000US36047017800",1
"14000US36047017900",1
"14000US36047018000",1
"14000US36047018100",1
"14000US36047018200",1
"14000US36047018300",1
"14000US36047018400",1
"14000US36047018501",2
"14000US36047018600",1
"14000US36047018700",1
"14000US36047018800",1
"14000US36047019000",1
"14000US36047019100",1
"14000US36047019200",1
"14000US36047019300",1
"14000US36047019400",1
"14000US36047019500",1
"14000US36047019600",1
"14000US36047019700",1
"14000US36047019800",1
"14000US36047019900",1
"14000US36047020000",1
"14000US36047020100",1
"14000US36047020200",1
"14000US36047020300",1
"14000US36047020400",1
"14000US36047020500",1
"14000US36047020600",1
"14000US36047020700",1
"14000US36047020800",1
"14000US36047021000",1
"14000US36047021100",1
"14000US36047021200",1
"14000US36047021300",1
"14000US36047021400",1
"14000US36047021500",1
"14000US36047021600",1
"14000US36047021700",2
"14000US36047021800",1
"14000US36047021900",1
"14000US36047022000",1
"14000US36047022100",1
"14000US36047022200",1
"14000US36047022400",1
