"inc[, 1]","V1"
"14000US36005000200",1
"14000US36005000400",3
"14000US36005001600",1
"14000US36005001900",1
"14000US36005002000",1
"14000US36005002300",1
"14000US36005002500",1
"14000US36005002701",1
"14000US36005002702",1
"14000US36005002800",1
"14000US36005003100",1
"14000US36005003300",1
"14000US36005003500",1
"14000US36005003700",1
"14000US36005003800",1
"14000US36005003900",1
"14000US36005004001",1
"14000US36005004100",1
"14000US36005004200",1
"14000US36005004300",1
"14000US36005004400",1
"14000US36005004600",1
"14000US36005004800",1
"14000US36005005001",1
"14000US36005005002",1
"14000US36005005100",1
"14000US36005005200",1
"14000US36005005300",1
"14000US36005005400",1
"14000US36005005600",1
"14000US36005005902",1
"14000US36005006000",1
"14000US36005006100",3
"14000US36005006200",1
"14000US36005006300",1
"14000US36005006400",1
"14000US36005006500",1
"14000US36005006700",1
"14000US36005006800",1
"14000US36005006900",1
"14000US36005007000",1
"14000US36005007100",1
"14000US36005007200",1
"14000US36005007300",1
"14000US36005007400",1
"14000US36005007500",1
"14000US36005007600",1
"14000US36005007700",1
"14000US36005007800",1
"14000US36005007900",1
"14000US36005008300",1
"14000US36005008400",3
"14000US36005008500",1
"14000US36005008600",1
"14000US36005008700",1
"14000US36005008900",1
"14000US36005009000",1
"14000US36005009200",1
"14000US36005009300",1
"14000US36005009600",1
"14000US36005009800",1
"14000US36005011502",1
"14000US36005011700",1
"14000US36005011800",3
"14000US36005011900",1
"14000US36005012101",1
"14000US36005012102",1
"14000US36005012300",1
"14000US36005012500",1
"14000US36005012701",1
"14000US36005012901",1
"14000US36005013000",3
"14000US36005013100",1
"14000US36005013200",3
"14000US36005013300",1
"14000US36005013500",1
"14000US36005013800",3
"14000US36005014100",1
"14000US36005014300",1
"14000US36005014400",1
"14000US36005014500",1
"14000US36005014701",1
"14000US36005014702",1
"14000US36005014900",1
"14000US36005015100",1
"14000US36005015200",1
"14000US36005015300",1
"14000US36005015500",1
"14000US36005015700",1
"14000US36005015800",1
"14000US36005015900",1
"14000US36005016000",3
"14000US36005016100",1
"14000US36005016200",3
"14000US36005016300",1
"14000US36005016400",3
"14000US36005016500",1
"14000US36005016600",3
"14000US36005016700",1
"14000US36005016900",1
"14000US36005017100",1
"14000US36005017300",1
"14000US36005017500",1
"14000US36005017701",1
"14000US36005017702",1
"14000US36005017901",1
"14000US36005017902",1
"14000US36005018101",1
"14000US36005018102",1
"14000US36005018301",1
"14000US36005018302",1
"14000US36005018400",3
"14000US36005018500",1
"14000US36005018900",1
"14000US36005019300",1
"14000US36005019400",1
"14000US36005019500",1
"14000US36005019700",1
"14000US36005019900",1
"14000US36005020000",1
"14000US36005020100",1
"14000US36005020200",1
"14000US36005020400",1
"14000US36005020501",1
"14000US36005020502",1
"14000US36005020601",1
"14000US36005020900",1
"14000US36005021001",1
"14000US36005021002",1
"14000US36005021100",1
"14000US36005021200",1
"14000US36005021301",1
"14000US36005021302",1
"14000US36005021501",1
"14000US36005021502",1
"14000US36005021601",1
"14000US36005021602",1
"14000US36005021700",1
"14000US36005021800",1
"14000US36005021900",1
"14000US36005022000",1
"14000US36005022101",1
"14000US36005022102",1
"14000US36005022200",1
"14000US36005022300",1
"14000US36005022401",1
"14000US36005022403",1
"14000US36005022404",1
"14000US36005022500",1
"14000US36005022701",1
"14000US36005022702",1
"14000US36005022703",1
"14000US36005022800",1
"14000US36005022901",1
"14000US36005022902",1
"14000US36005023000",1
"14000US36005023100",1
"14000US36005023200",1
"14000US36005023301",1
"14000US36005023302",1
"14000US36005023501",1
"14000US36005023502",1
"14000US36005023600",1
"14000US36005023702",1
