PCT	noOfStops	crimeRate	label
1	-0.2471306125	-0.0516040403	3
5	0.5075592506	-0.7469267974	3
6	0.3098592769	0.220188788	1
7	1.501126325	-1.1404427943	3
9	-0.417311142	-0.0466017183	3
10	0.7961957171	-0.595189697	3
13	-0.1797678897	0.9471929178	1
14	2.7297864103	2.4045360586	1
17	-0.9566413205	-0.7052407808	3
18	-0.5858055199	1.4424227951	1
19	-1.0296962538	0.9705370871	1
20	-0.0879633726	-0.7019058995	3
23	4.9295692503	-0.7252500688	2
24	3.2904013085	-0.6018594596	2
25	2.0978095604	-0.6518826795	3
26	1.5640169442	-1.2871775727	3
28	1.5704529407	-0.838636034	3
30	5.3148020793	-0.9653615245	2
32	5.2773114127	-0.6969035775	2
33	5.2796234358	-0.9136708639	2
34	6.024906932	-0.4818037318	2
40	1.592814748	0.2985584992	1
41	1.2654254326	0.0667842469	3
42	0.3096081308	-0.271706208	3
43	0.2901312424	1.6458505562	1
44	1.2229858141	1.259004322	1
45	4.1605603693	-0.4534572405	2
46	-0.0745788104	0.2785492113	1
47	-0.1053401631	1.1272765095	1
48	0.044786755	0.3018933806	1
49	-0.0923505132	0.2085167034	1
50	-0.3498569783	-0.7552640007	3
52	0.8103660905	1.1856369328	1
60	0.3235559868	-0.013252905	3
61	-0.2188180428	0.3685910072	1
62	-0.1899363838	-0.2416922761	3
63	-0.4007442835	-0.1016272602	3
66	-0.2303760328	-0.3400712753	3
67	-0.0023133608	1.6391807936	1
68	-0.3109724535	-0.8302988307	3
69	-0.2117865972	-0.525157189	3
70	0.0930248538	0.7354279534	1
71	0.0433990871	0.3302398719	1
72	-0.0816207523	-0.5018130197	3
73	0.8502196129	1.3423763553	1
75	0.0833910273	3.8852233687	1
76	0.804710494	-1.3622124026	3
77	0.1818483211	0.1918422967	1
78	-0.0756944976	-0.6735594082	3
79	0.3462925745	0.782116292	1
81	0.0354175491	0.2035143814	1
83	0.2022973573	0.9638673244	1
84	0.2137986549	-0.6802291708	3
88	-0.1265018348	-0.4751339691	3
90	0.4380703532	0.4436258371	1
94	-0.3810172391	-0.8252965087	3
100	0.0013103279	-1.3922263346	3
101	4.0772002605	-0.9170057452	2
102	-0.1998946578	0.2635422453	1
103	0.6274971116	0.6537233608	1
104	-0.3592036225	0.3819305325	1
105	-0.2435370109	0.9655347651	1
106	-0.2974777555	0.2518701606	1
107	-0.4148215911	-0.271706208	3
108	-0.2258334963	-0.4017665799	3
109	-0.1325453963	0.8638208845	1
110	0.1874029942	0.5420048363	1
111	-0.2135192375	-0.9520219992	3
112	-0.2462481056	-0.8969964572	3
113	-0.098981839	1.5408017943	1
114	-0.072720338	1.0705835269	1
115	0.2545014292	0.533667633	1
120	1.2404084344	-0.2200155474	3
122	-0.1645598359	-1.077080049	3
123	-0.3494242178	-1.7523935182	3
