"PCT","total","FRISKED","ARSTMADE","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1855,0.349544273409574,0.60879553659337
"2","1   ",3047,"N","Y",69,0.0130019163694127,0.0226452248112898
"3","1   ",3047,"Y","N",1003,0.188998871282912,0.329176238923531
"4","1   ",3047,"Y","Y",120,0.0226120284685438,0.0393829996718083
"5","10  ",2366,"N","N",1179,0.222163179703443,0.498309382924768
"6","10  ",2366,"N","Y",50,0.00942167852855993,0.0211327134404057
"7","10  ",2366,"Y","N",912,0.171851416360933,0.385460693153001
"8","10  ",2366,"Y","Y",225,0.0423975533785197,0.0950972104818259
"9","100 ",4123,"N","N",1997,0.376301840430684,0.48435605141887
"10","100 ",4123,"N","Y",39,0.00734890925227675,0.00945913170021829
"11","100 ",4123,"Y","N",1892,0.356516315520708,0.458889158379821
"12","100 ",4123,"Y","Y",195,0.0367445462613837,0.0472956585010914
"13","101 ",9747,"N","N",2337,0.440369254424891,0.239766081871345
"14","101 ",9747,"N","Y",68,0.0128134827988415,0.00697650559146404
"15","101 ",9747,"Y","N",7007,1.32035402899239,0.718887862932184
"16","101 ",9747,"Y","Y",335,0.0631252461413516,0.0343695496050067
"17","102 ",6838,"N","N",2775,0.522903158335076,0.405820415326119
"18","102 ",6838,"N","Y",75,0.0141325177928399,0.0109681193331383
"19","102 ",6838,"Y","N",3242,0.610901635791826,0.474115238373793
"20","102 ",6838,"Y","Y",746,0.140571443646114,0.109096226966949
"21","103 ",12964,"N","N",5589,1.05315522592243,0.431116939216291
"22","103 ",12964,"N","Y",159,0.0299609377208206,0.0122647331070657
"23","103 ",12964,"Y","N",6332,1.19316136885683,0.488429497068806
"24","103 ",12964,"Y","Y",884,0.16657527638494,0.0681888306078371
"25","104 ",4888,"N","N",1462,0.275489880175092,0.299099836333879
"26","104 ",4888,"N","Y",16,0.00301493712913918,0.00327332242225859
"27","104 ",4888,"Y","N",2986,0.562662641725599,0.61088379705401
"28","104 ",4888,"Y","Y",424,0.0798958339221882,0.0867430441898527
"29","105 ",8194,"N","N",3516,0.662532434128335,0.429094459360508
"30","105 ",8194,"N","Y",56,0.0105522799519871,0.00683426897730046
"31","105 ",8194,"Y","N",3807,0.717366603164553,0.46460824993898
"32","105 ",8194,"Y","Y",815,0.153573360015527,0.0994630217232121
"33","106 ",5018,"N","N",2288,0.431136009466903,0.455958549222798
"34","106 ",5018,"N","Y",33,0.00621830782884956,0.00657632522917497
"35","106 ",5018,"Y","N",2426,0.457139842205728,0.483459545635711
"36","106 ",5018,"Y","Y",271,0.0510654976247948,0.0540055799123157
"37","107 ",4438,"N","N",1720,0.324105741382462,0.387561964849031
"38","107 ",4438,"N","Y",79,0.0148862520751247,0.0178008111762055
"39","107 ",4438,"Y","N",2398,0.451863702229734,0.540333483551149
"40","107 ",4438,"Y","Y",241,0.0454124905076589,0.0543037404236142
"41","108 ",4094,"N","N",2135,0.402305673169509,0.521494870542257
"42","108 ",4094,"N","Y",20,0.00376867141142397,0.00488519785051295
"43","108 ",4094,"Y","N",1748,0.329381881358455,0.426966292134831
"44","108 ",4094,"Y","Y",191,0.035990811979099,0.0466536394723986
"45","109 ",9672,"N","N",3603,0.678926154768029,0.372518610421836
"46","109 ",9672,"N","Y",52,0.00979854566970233,0.00537634408602151
"47","109 ",9672,"Y","N",5323,1.00303189615049,0.55035153019024
"48","109 ",9672,"Y","Y",694,0.130772897976412,0.0717535153019024
"49","110 ",9075,"N","N",1672,0.315060929995044,0.184242424242424
"50","110 ",9075,"N","Y",21,0.00395710498199517,0.00231404958677686
"51","110 ",9075,"Y","N",6808,1.28285574844872,0.750192837465565
"52","110 ",9075,"Y","Y",574,0.108160869507868,0.0632506887052342
"53","111 ",3749,"N","N",1541,0.290376132250217,0.411042944785276
"54","111 ",3749,"N","Y",30,0.00565300711713596,0.00800213390237397
"55","111 ",3749,"Y","N",2029,0.382331714688962,0.541210989597226
"56","111 ",3749,"Y","Y",149,0.0280766020151086,0.039743931715124
"57","112 ",2788,"N","N",1234,0.232527026084859,0.442611190817791
"58","112 ",2788,"N","Y",15,0.00282650355856798,0.00538020086083214
"59","112 ",2788,"Y","N",1330,0.250616648859694,0.477044476327116
"60","112 ",2788,"Y","Y",209,0.0393826162493805,0.0749641319942611
"61","113 ",8711,"N","N",3125,0.588854908034996,0.358741820686488
"62","113 ",8711,"N","Y",65,0.0122481820871279,0.00746182987027896
"63","113 ",8711,"Y","N",5011,0.944240622132277,0.575249684307198
"64","113 ",8711,"Y","Y",510,0.0961011209913113,0.0585466651360349
"65","114 ",8452,"N","N",2798,0.527237130458214,0.331045906294368
"66","114 ",8452,"N","Y",160,0.0301493712913918,0.0189304306672977
"67","114 ",8452,"Y","N",5093,0.959692174919115,0.602579271178419
"68","114 ",8452,"Y","Y",401,0.0755618617990507,0.0474443918599148
"69","115 ",8061,"N","N",1846,0.347848371274433,0.229003845676715
"70","115 ",8061,"N","Y",26,0.00489927283485117,0.00322540627713683
"71","115 ",8061,"Y","N",5751,1.08368146435496,0.713435057685151
"72","115 ",8061,"Y","Y",438,0.082533903910185,0.0543356903609974
"73","120 ",12348,"N","N",6381,1.20239461381482,0.516763848396501
"74","120 ",12348,"N","Y",124,0.0233657627508286,0.0100421120829284
"75","120 ",12348,"Y","N",5113,0.963460846330539,0.414075153871072
"76","120 ",12348,"Y","Y",730,0.137556506516975,0.0591188856494979
"77","122 ",6394,"N","N",3475,0.654806657734915,0.543478260869565
"78","122 ",6394,"N","Y",36,0.00678360854056315,0.00563027838598686
"79","122 ",6394,"Y","N",2687,0.506321004124811,0.420237722865186
"80","122 ",6394,"Y","Y",196,0.0369329798319549,0.0306537378792618
"81","123 ",1935,"N","N",1061,0.199928018376042,0.548320413436692
"82","123 ",1935,"N","Y",4,0.000753734282284795,0.0020671834625323
"83","123 ",1935,"Y","N",783,0.147543485757249,0.404651162790698
"84","123 ",1935,"Y","Y",87,0.0163937206396943,0.0449612403100775
"85","13  ",3821,"N","N",2207,0.415872890250635,0.577597487568699
"86","13  ",3821,"N","Y",55,0.0103638463814159,0.0143941376602984
"87","13  ",3821,"Y","N",1142,0.215191137592309,0.298874640146559
"88","13  ",3821,"Y","Y",417,0.0785767989281898,0.109133734624444
"89","14  ",8869,"N","N",6239,1.17563704679371,0.703461495095276
"90","14  ",8869,"N","Y",166,0.031279972714819,0.0187168790168001
"91","14  ",8869,"Y","N",2155,0.406074344580933,0.2429811703687
"92","14  ",8869,"Y","Y",309,0.0582259733065004,0.0348404555192243
"93","17  ",1320,"N","N",890,0.167705877808367,0.674242424242424
"94","17  ",1320,"N","Y",28,0.00527613997599356,0.0212121212121212
"95","17  ",1320,"Y","N",318,0.0599218754416412,0.240909090909091
"96","17  ",1320,"Y","Y",84,0.0158284199279807,0.0636363636363636
"97","18  ",2963,"N","N",1961,0.369518231890121,0.661829227134661
"98","18  ",2963,"N","Y",93,0.0175243220631215,0.0313871076611542
"99","18  ",2963,"Y","N",715,0.134730002958407,0.241309483631455
"100","18  ",2963,"Y","Y",194,0.0365561126908125,0.0654741815727303
"101","19  ",4646,"N","N",3243,0.611090069362397,0.698019801980198
"102","19  ",4646,"N","Y",135,0.0254385320271118,0.0290572535514421
"103","19  ",4646,"Y","N",818,0.154138660727241,0.17606543263022
"104","19  ",4646,"Y","Y",450,0.0847951067570394,0.0968575118381403
"105","20  ",3260,"N","N",2049,0.386100386100386,0.628527607361963
"106","20  ",3260,"N","Y",53,0.00998697924027353,0.0162576687116564
"107","20  ",3260,"Y","N",876,0.16506780782037,0.268711656441718
"108","20  ",3260,"Y","Y",282,0.053138266901078,0.0865030674846626
"109","22  ",588,"N","N",396,0.0746196939461947,0.673469387755102
"110","22  ",588,"N","Y",7,0.00131903499399839,0.0119047619047619
"111","22  ",588,"Y","N",166,0.031279972714819,0.282312925170068
"112","22  ",588,"Y","Y",19,0.00358023784085278,0.032312925170068
"113","23  ",10993,"N","N",5353,1.00868490326763,0.486946238515419
"114","23  ",10993,"N","Y",75,0.0141325177928399,0.00682252342399709
"115","23  ",10993,"Y","N",5114,0.96364927990111,0.465205130537615
"116","23  ",10993,"Y","Y",451,0.0849835403276106,0.0410261075229692
"117","24  ",4198,"N","N",2561,0.48257837423284,0.610052405907575
"118","24  ",4198,"N","Y",113,0.0212929934745455,0.0269175797999047
"119","24  ",4198,"Y","N",1229,0.231584858232003,0.292758456407813
"120","24  ",4198,"Y","Y",295,0.0555879033185036,0.070271557884707
"121","25  ",6350,"N","N",2856,0.538166277551343,0.449763779527559
"122","25  ",6350,"N","Y",113,0.0212929934745455,0.0177952755905512
"123","25  ",6350,"Y","N",2836,0.534397606139919,0.446614173228346
"124","25  ",6350,"Y","Y",545,0.102696295961303,0.0858267716535433
