"PCT","total","FRISKED","ASLTWEAP","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1924,0.362546189778986,0.63144076140466
"2","1   ",3047,"Y","N",1123,0.211610899751456,0.36855923859534
"3","10  ",2366,"N","N",1229,0.231584858232003,0.519442096365173
"4","10  ",2366,"Y","N",1137,0.214248969739453,0.480557903634827
"5","100 ",4123,"N","N",2036,0.383650749682961,0.493815183119088
"6","100 ",4123,"Y","N",2087,0.393260861782092,0.506184816880912
"7","101 ",9747,"N","N",2405,0.453182737223733,0.246742587462809
"8","101 ",9747,"Y","N",7342,1.38347927513374,0.753257412537191
"9","102 ",6838,"N","N",2850,0.537035676127916,0.416788534659257
"10","102 ",6838,"Y","N",3977,0.749400310161657,0.581602807838549
"11","102 ",6838,"Y","Y",11,0.00207276927628319,0.00160865750219362
"12","103 ",12964,"N","N",5748,1.08311616364325,0.443381672323357
"13","103 ",12964,"Y","N",7216,1.35973664524177,0.556618327676643
"14","104 ",4888,"N","N",1478,0.278504817304232,0.302373158756137
"15","104 ",4888,"Y","N",3410,0.642558475647787,0.697626841243863
"16","105 ",8194,"N","N",3572,0.673084714080322,0.435928728337808
"17","105 ",8194,"Y","N",4620,0.870563096038938,0.563827190627288
"18","105 ",8194,"Y","Y",2,0.000376867141142397,0.000244081034903588
"19","106 ",5018,"N","N",2321,0.437354317295752,0.462534874451973
"20","106 ",5018,"Y","N",2697,0.508205339830523,0.537465125548027
"21","107 ",4438,"N","N",1799,0.338991993457586,0.405362776025237
"22","107 ",4438,"Y","N",2637,0.496899325596251,0.594186570527265
"23","107 ",4438,"Y","Y",2,0.000376867141142397,0.000450653447498873
"24","108 ",4094,"N","N",2155,0.406074344580933,0.52638006839277
"25","108 ",4094,"Y","N",1939,0.365372693337554,0.47361993160723
"26","109 ",9672,"N","N",3655,0.688724700437731,0.377894954507858
"27","109 ",9672,"Y","N",6016,1.13361636055633,0.622001654259719
"28","109 ",9672,"Y","Y",1,0.000188433570571199,0.00010339123242349
"29","110 ",9075,"N","N",1693,0.319018034977039,0.186556473829201
"30","110 ",9075,"Y","N",7380,1.39063975081545,0.813223140495868
"31","110 ",9075,"Y","Y",2,0.000376867141142397,0.000220385674931129
"32","111 ",3749,"N","N",1571,0.296029139367353,0.41904507868765
"33","111 ",3749,"Y","N",2178,0.410408316704071,0.58095492131235
