"PCT","RACE","V1.x","V1.y","AVG_PER_RACE"
"1",1,"A",1527,201,7.59701492537313
"2",1,"B",7512,1668,4.50359712230216
"3",1,"I",120,20,6
"4",1,"P",616,111,5.54954954954955
"5",1,"Q",2244,408,5.5
"6",1,"U",65,12,5.41666666666667
"7",1,"W",3470,583,5.95197255574614
"8",1,"Z",242,44,5.5
"9",5,"A",2167,345,6.28115942028986
"10",5,"B",6426,1057,6.0794701986755
"11",5,"I",87,12,7.25
"12",5,"P",1630,197,8.2741116751269
"13",5,"Q",3466,526,6.5893536121673
"14",5,"U",524,53,9.88679245283019
"15",5,"W",3177,450,7.06
"16",5,"Z",1003,115,8.72173913043478
"17",6,"A",595,80,7.4375
"18",6,"B",11565,2148,5.3840782122905
"19",6,"I",126,17,7.41176470588235
"20",6,"P",903,136,6.63970588235294
"21",6,"Q",3445,548,6.28649635036496
"22",6,"U",85,14,6.07142857142857
"23",6,"W",3246,561,5.78609625668449
"24",6,"Z",564,96,5.875
"25",7,"A",623,95,6.55789473684211
"26",7,"B",8736,1399,6.24446032880629
"27",7,"I",45,8,5.625
"28",7,"P",1743,279,6.24731182795699
"29",7,"Q",7016,1197,5.86131996658312
"30",7,"U",247,51,4.84313725490196
"31",7,"W",2582,421,6.13301662707839
"32",7,"Z",187,31,6.03225806451613
"33",9,"A",1175,139,8.45323741007194
"34",9,"B",10818,1787,6.05372132064913
"35",9,"I",72,14,5.14285714285714
"36",9,"P",2460,405,6.07407407407407
"37",9,"Q",9729,1604,6.06546134663342
"38",9,"U",598,84,7.11904761904762
"39",9,"W",7006,1061,6.60320452403393
"40",9,"Z",690,111,6.21621621621622
"41",10,"A",601,65,9.24615384615385
"42",10,"B",7433,1286,5.77993779160187
"43",10,"I",68,12,5.66666666666667
"44",10,"P",572,92,6.21739130434783
"45",10,"Q",2570,431,5.96287703016241
"46",10,"U",258,45,5.73333333333333
"47",10,"W",2356,409,5.76039119804401
"48",10,"Z",183,26,7.03846153846154
"49",13,"A",716,102,7.01960784313725
"50",13,"B",10591,1778,5.95669291338583
"51",13,"I",145,20,7.25
"52",13,"P",1107,195,5.67692307692308
"53",13,"Q",5328,879,6.06143344709898
"54",13,"U",43,10,4.3
"55",13,"W",5097,793,6.42749054224464
"56",13,"Z",209,44,4.75
"57",14,"A",2121,325,6.52615384615385
"58",14,"B",26595,4878,5.4520295202952
"59",14,"I",204,35,5.82857142857143
"60",14,"P",2161,373,5.79356568364611
"61",14,"Q",9002,1502,5.99334221038615
"62",14,"U",511,80,6.3875
"63",14,"W",8786,1542,5.69779507133593
"64",14,"Z",859,133,6.45864661654135
"65",17,"A",450,68,6.61764705882353
"66",17,"B",3482,498,6.99196787148594
"67",17,"I",12,3,4
"68",17,"P",389,61,6.37704918032787
"69",17,"Q",2216,293,7.56313993174061
"70",17,"U",54,11,4.90909090909091
"71",17,"W",2162,299,7.23076923076923
"72",17,"Z",731,85,8.6
"73",18,"A",639,76,8.4078947368421
"74",18,"B",9531,1515,6.29108910891089
"75",18,"I",45,9,5
"76",18,"P",1150,173,6.64739884393064
"77",18,"Q",4190,638,6.56739811912226
"78",18,"U",160,26,6.15384615384615
"79",18,"W",3511,488,7.19467213114754
"80",18,"Z",244,35,6.97142857142857
"81",19,"A",1278,186,6.87096774193548
"82",19,"B",13911,1650,8.43090909090909
"83",19,"I",163,17,9.58823529411765
"84",19,"P",2334,371,6.2911051212938
"85",19,"Q",9195,1271,7.23446105428796
"86",19,"U",115,23,5
"87",19,"W",7708,991,7.77800201816347
"88",19,"Z",705,106,6.65094339622642
"89",20,"A",1498,162,9.24691358024691
"90",20,"B",9206,1318,6.98482549317147
"91",20,"I",72,12,6
"92",20,"P",1655,251,6.59362549800797
"93",20,"Q",4633,682,6.79325513196481
"94",20,"U",309,35,8.82857142857143
"95",20,"W",5637,777,7.25482625482625
"96",20,"Z",110,19,5.78947368421053
"97",22,"A",192,28,6.85714285714286
"98",22,"B",1924,255,7.54509803921569
"99",22,"I",40,4,10
"100",22,"P",284,42,6.76190476190476
"101",22,"Q",1136,143,7.94405594405594
"102",22,"U",15,2,7.5
"103",22,"W",905,114,7.93859649122807
"104",23,"A",597,129,4.62790697674419
"105",23,"B",31123,6794,4.58095378274948
