"PCT","total","FRISKED","CONTRABN","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N","N",1916,0.361038721214417,0.628815228093206
"2","1   ",3047,"N","Y",8,0.00150746856456959,0.00262553331145389
"3","1   ",3047,"Y","N",1092,0.205769459063749,0.358385297013456
"4","1   ",3047,"Y","Y",31,0.00584144068770716,0.0101739415818838
"5","10  ",2366,"N","N",1220,0.229888956096862,0.5156382079459
"6","10  ",2366,"N","Y",9,0.00169590213514079,0.00380388841927303
"7","10  ",2366,"Y","N",1056,0.198985850523186,0.446322907861369
"8","10  ",2366,"Y","Y",81,0.0152631192162671,0.0342349957734573
"9","100 ",4123,"N","N",2024,0.381389546836106,0.490904681057482
"10","100 ",4123,"N","Y",12,0.00226120284685438,0.00291050206160563
"11","100 ",4123,"Y","N",2032,0.382897015400676,0.492845015765219
"12","100 ",4123,"Y","Y",55,0.0103638463814159,0.0133398011156925
"13","101 ",9747,"N","N",2386,0.44960249938288,0.244793269724018
"14","101 ",9747,"N","Y",19,0.00358023784085278,0.00194931773879142
"15","101 ",9747,"Y","N",7248,1.36576651950005,0.743613419513697
"16","101 ",9747,"Y","Y",94,0.0177127556336927,0.00964399302349441
"17","102 ",6838,"N","N",2838,0.534774473281062,0.415033635565955
"18","102 ",6838,"N","Y",12,0.00226120284685438,0.00175489909330214
"19","102 ",6838,"Y","N",3796,0.71529383388827,0.555133079847909
"20","102 ",6838,"Y","Y",192,0.0361792455496701,0.0280783854928342
"21","103 ",12964,"N","N",5700,1.07407135225583,0.439679111385375
"22","103 ",12964,"N","Y",48,0.00904481138741754,0.0037025609379821
"23","103 ",12964,"Y","N",7023,1.32336896612153,0.541730947238507
"24","103 ",12964,"Y","Y",193,0.0363676791202413,0.0148873804381364
"25","104 ",4888,"N","N",1474,0.277751083021947,0.301554828150573
"26","104 ",4888,"N","Y",4,0.000753734282284795,0.000818330605564648
"27","104 ",4888,"Y","N",3327,0.626918489290378,0.680646481178396
"28","104 ",4888,"Y","Y",83,0.0156399863574095,0.0169803600654664
"29","105 ",8194,"N","N",3554,0.66969290981004,0.433731999023676
"30","105 ",8194,"N","Y",18,0.00339180427028158,0.00219672931413229
"31","105 ",8194,"Y","N",4285,0.807437849897586,0.522943617280937
"32","105 ",8194,"Y","Y",337,0.063502113282494,0.0411276543812546
"33","106 ",5018,"N","N",2316,0.436412149442896,0.461538461538462
"34","106 ",5018,"N","Y",5,0.000942167852855993,0.000996412913511359
"35","106 ",5018,"Y","N",2641,0.497653059878536,0.5263053009167
"36","106 ",5018,"Y","Y",56,0.0105522799519871,0.0111598246313272
"37","107 ",4438,"N","N",1784,0.336165489899018,0.401982875168995
"38","107 ",4438,"N","Y",15,0.00282650355856798,0.00337990085624155
"39","107 ",4438,"Y","N",2562,0.482766807803411,0.577287066246057
"40","107 ",4438,"Y","Y",77,0.0145093849339823,0.0173501577287066
"41","108 ",4094,"N","N",2132,0.401740372457796,0.52076209086468
"42","108 ",4094,"N","Y",23,0.00433397212313757,0.00561797752808989
"43","108 ",4094,"Y","N",1844,0.34747150413329,0.450415241817294
"44","108 ",4094,"Y","Y",95,0.0179011892042639,0.0232046897899365
"45","109 ",9672,"N","N",3652,0.688159399726018,0.377584780810587
"46","109 ",9672,"N","Y",3,0.000565300711713596,0.000310173697270471
"47","109 ",9672,"Y","N",5909,1.11345396850521,0.610938792390405
"48","109 ",9672,"Y","Y",108,0.0203508256216895,0.011166253101737
"49","110 ",9075,"N","N",1683,0.317133699271327,0.185454545454545
