"PCT","total","PF_BATON","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",3047,0.574157089530442,1
"2","10  ",2366,"N",2366,0.445833827971456,1
"3","100 ",4123,"N",4122,0.776723177894481,0.999757458161533
"4","100 ",4123,"Y",1,0.000188433570571199,0.000242541838467136
"5","101 ",9747,"N",9747,1.83666201235747,1
"6","102 ",6838,"N",6838,1.28850875556586,1
"7","103 ",12964,"N",12962,2.44247594174388,0.999845726627584
"8","103 ",12964,"Y",2,0.000376867141142397,0.000154273372415921
"9","104 ",4888,"N",4888,0.921063292952019,1
"10","105 ",8194,"N",8194,1.5440246772604,1
"11","106 ",5018,"N",5017,0.945371223555704,0.999800717417298
"12","106 ",5018,"Y",1,0.000188433570571199,0.000199282582702272
"13","107 ",4438,"N",4436,0.835891319053837,0.999549346552501
"14","107 ",4438,"Y",2,0.000376867141142397,0.000450653447498873
"15","108 ",4094,"N",4094,0.771447037918487,1
"16","109 ",9672,"N",9671,1.82234106099406,0.999896608767576
"17","109 ",9672,"Y",1,0.000188433570571199,0.00010339123242349
"18","110 ",9075,"N",9070,1.70909248508077,0.999449035812672
"19","110 ",9075,"Y",5,0.000942167852855993,0.000550964187327824
"20","111 ",3749,"N",3749,0.706437456071424,1
"21","112 ",2788,"N",2786,0.524975927611359,0.999282639885222
"22","112 ",2788,"Y",2,0.000376867141142397,0.000717360114777618
"23","113 ",8711,"N",8711,1.64144483324571,1
"24","114 ",8452,"N",8451,1.5924521048972,0.999881684808329
"25","114 ",8452,"Y",1,0.000188433570571199,0.000118315191670611
"26","115 ",8061,"N",8057,1.51820927809215,0.999503783649671
"27","115 ",8061,"Y",4,0.000753734282284795,0.000496216350328743
"28","120 ",12348,"N",12348,2.32677772941316,1
"29","122 ",6394,"N",6394,1.20484425023224,1
"30","123 ",1935,"N",1935,0.364618959055269,1
"31","13  ",3821,"N",3821,0.72000467315255,1
"32","14  ",8869,"N",8867,1.67084047025482,0.999774495433533
"33","14  ",8869,"Y",2,0.000376867141142397,0.000225504566467471
"34","17  ",1320,"N",1320,0.248732313153982,1
"35","18  ",2963,"N",2962,0.55814023603189,0.999662504218697
"36","18  ",2963,"Y",1,0.000188433570571199,0.000337495781302734
"37","19  ",4646,"N",4646,0.875462368873789,1
"38","20  ",3260,"N",3260,0.614293440062108,1
"39","22  ",588,"N",588,0.110798939495865,1
"40","23  ",10993,"N",10993,2.07145024128919,1
"41","24  ",4198,"N",4198,0.791044129257892,1
"42","25  ",6350,"N",6350,1.19655317312711,1
"43","26  ",5399,"N",5399,1.0173528475139,1
"44","28  ",6691,"N",6691,1.26080902069189,1
"45","30  ",6156,"N",6154,1.15962019329516,0.999675113710201
"46","30  ",6156,"Y",2,0.000376867141142397,0.00032488628979857
"47","32  ",10656,"N",10655,2.00775969443612,0.999906156156156
"48","32  ",10656,"Y",1,0.000188433570571199,9.38438438438438e-05
"49","33  ",3612,"N",3611,0.680433623332598,0.999723145071982
"50","33  ",3612,"Y",1,0.000188433570571199,0.000276854928017719
"51","34  ",9664,"N",9664,1.82102202600006,1
"52","40  ",18229,"N",18227,3.43457869080124,0.999890284711174
"53","40  ",18229,"Y",2,0.000376867141142397,0.000109715288825498
"54","41  ",8596,"N",8596,1.61977497263002,1
"55","42  ",7737,"N",7735,1.45753366836822,0.999741501874111
"56","42  ",7737,"Y",2,0.000376867141142397,0.000258498125888587
"57","43  ",10630,"N",10629,2.00286042160127,0.999905926622766
"58","43  ",10630,"Y",1,0.000188433570571199,9.40733772342427e-05
"59","44  ",15378,"N",15378,2.89773144824389,1
"60","45  ",3990,"N",3990,0.751849946579083,1
"61","46  ",5619,"N",5619,1.05880823303957,1
"62","47  ",8917,"N",8917,1.68026214878338,1
"63","48  ",5408,"N",5406,1.0186718825079,0.999630177514793
"64","48  ",5408,"Y",2,0.000376867141142397,0.000369822485207101
"65","49  ",5771,"N",5771,1.08745013576639,1
"66","5   ",2756,"N",2753,0.51875761978251,0.998911465892598
"67","5   ",2756,"Y",3,0.000565300711713596,0.00108853410740203
"68","50  ",1818,"N",1818,0.342572231298439,1
"69","52  ",9735,"N",9734,1.83421237594005,0.99989727786338
"70","52  ",9735,"Y",1,0.000188433570571199,0.000102722136620442
"71","6   ",3600,"N",3599,0.678172420485744,0.999722222222222
"72","6   ",3600,"Y",1,0.000188433570571199,0.000277777777777778
"73","60  ",7775,"N",7775,1.46507101119107,1
"74","61  ",6681,"N",6681,1.25892468498618,1
"75","62  ",4462,"N",4461,0.840602158318117,0.99977588525325
"76","62  ",4462,"Y",1,0.000188433570571199,0.000224114746750336
"77","63  ",3651,"N",3651,0.687970966155446,1
"78","66  ",3420,"N",3420,0.644442811353499,1
"79","67  ",10783,"N",10782,2.03169075789866,0.999907261430029
"80","67  ",10783,"Y",1,0.000188433570571199,9.2738569971251e-05
"81","68  ",2548,"N",2548,0.480128737815414,1
"82","69  ",5357,"N",5357,1.00943863754991,1
"83","7   ",3483,"N",3483,0.656314126299485,1
"84","70  ",11124,"N",11120,2.09538130475173,0.999640417116145
"85","70  ",11124,"Y",4,0.000753734282284795,0.000359582883854729
"86","71  ",4658,"N",4658,0.877723571720643,1
