"PCT","total","PF_DRWEP","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",3033,0.571519019542446,0.995405316704956
"2","1   ",3047,"Y",14,0.00263806998799678,0.00459468329504431
"3","10  ",2366,"N",2365,0.445645394400885,0.999577345731192
"4","10  ",2366,"Y",1,0.000188433570571199,0.000422654268808115
"5","100 ",4123,"N",4096,0.77182390505963,0.993451370361387
"6","100 ",4123,"Y",27,0.00508770640542236,0.00654862963861266
"7","101 ",9747,"N",9706,1.82893623596405,0.995793577511029
"8","101 ",9747,"Y",41,0.00772577639341915,0.00420642248897097
"9","102 ",6838,"N",6829,1.28681285343072,0.998683825680023
"10","102 ",6838,"Y",9,0.00169590213514079,0.0013161743199766
"11","103 ",12964,"N",12933,2.43701136819731,0.997608762727553
"12","103 ",12964,"Y",31,0.00584144068770716,0.00239123727244678
"13","104 ",4888,"N",4881,0.919744257958021,0.998567921440262
"14","104 ",4888,"Y",7,0.00131903499399839,0.00143207855973813
"15","105 ",8194,"N",8164,1.53837167014327,0.996338784476446
"16","105 ",8194,"Y",30,0.00565300711713596,0.00366121552355382
"17","106 ",5018,"N",4996,0.941414118573709,0.99561578318055
"18","106 ",5018,"Y",22,0.00414553855256637,0.00438421681944998
"19","107 ",4438,"N",4423,0.833441682636412,0.996620099143758
"20","107 ",4438,"Y",15,0.00282650355856798,0.00337990085624155
"21","108 ",4094,"N",4083,0.769374268642204,0.997313141182218
"22","108 ",4094,"Y",11,0.00207276927628319,0.00268685881778212
"23","109 ",9672,"N",9659,1.82007985814721,0.998655913978495
"24","109 ",9672,"Y",13,0.00244963641742558,0.00134408602150538
"25","110 ",9075,"N",9053,1.70588911438106,0.997575757575758
"26","110 ",9075,"Y",22,0.00414553855256637,0.00242424242424242
"27","111 ",3749,"N",3746,0.70587215535971,0.999199786609763
"28","111 ",3749,"Y",3,0.000565300711713596,0.000800213390237397
"29","112 ",2788,"N",2777,0.523280025476219,0.996054519368723
"30","112 ",2788,"Y",11,0.00207276927628319,0.0039454806312769
"31","113 ",8711,"N",8670,1.63371905685229,0.995293307312593
"32","113 ",8711,"Y",41,0.00772577639341915,0.00470669268740673
"33","114 ",8452,"N",8432,1.58887186705635,0.997633696166588
"34","114 ",8452,"Y",20,0.00376867141142397,0.00236630383341221
"35","115 ",8061,"N",8050,1.51689024309815,0.998635405036596
"36","115 ",8061,"Y",11,0.00207276927628319,0.00136459496340404
"37","120 ",12348,"N",12306,2.31886351944917,0.996598639455782
"38","120 ",12348,"Y",42,0.00791420996399034,0.00340136054421769
"39","122 ",6394,"N",6378,1.20182931310311,0.997497654050672
"40","122 ",6394,"Y",16,0.00301493712913918,0.00250234594932749
"41","123 ",1935,"N",1934,0.364430525484698,0.999483204134367
"42","123 ",1935,"Y",1,0.000188433570571199,0.000516795865633075
"43","13  ",3821,"N",3793,0.714728533176557,0.992672075372939
"44","13  ",3821,"Y",28,0.00527613997599356,0.00732792462706098
"45","14  ",8869,"N",8853,1.66820240026682,0.99819596346826
"46","14  ",8869,"Y",16,0.00301493712913918,0.00180403653173977
"47","17  ",1320,"N",1316,0.247978578871697,0.996969696969697
"48","17  ",1320,"Y",4,0.000753734282284795,0.00303030303030303
"49","18  ",2963,"N",2955,0.556821201037892,0.997300033749578
"50","18  ",2963,"Y",8,0.00150746856456959,0.00269996625042187
"51","19  ",4646,"N",4634,0.873201166026935,0.99741713301765
"52","19  ",4646,"Y",12,0.00226120284685438,0.00258286698235041
"53","20  ",3260,"N",3255,0.613351272209252,0.998466257668712
"54","20  ",3260,"Y",5,0.000942167852855993,0.00153374233128834
"55","22  ",588,"N",588,0.110798939495865,1
"56","23  ",10993,"N",10983,2.06956590558348,0.999090330210134
"57","23  ",10993,"Y",10,0.00188433570571199,0.000909669789866278
"58","24  ",4198,"N",4184,0.788406059269895,0.996665078608861
"59","24  ",4198,"Y",14,0.00263806998799678,0.00333492139113864
"60","25  ",6350,"N",6329,1.19259606814512,0.996692913385827
"61","25  ",6350,"Y",21,0.00395710498199517,0.00330708661417323
"62","26  ",5399,"N",5385,1.0147147775259,0.997406927208742
"63","26  ",5399,"Y",14,0.00263806998799678,0.00259307279125764
"64","28  ",6691,"N",6667,1.25628661499818,0.996413092213421
"65","28  ",6691,"Y",24,0.00452240569370877,0.00358690778657899
"66","30  ",6156,"N",6134,1.15585152188373,0.996426250812216
"67","30  ",6156,"Y",22,0.00414553855256637,0.00357374918778428
"68","32  ",10656,"N",10611,1.99946861733099,0.995777027027027
"69","32  ",10656,"Y",45,0.00847951067570394,0.00422297297297297
"70","33  ",3612,"N",3590,0.676476518350603,0.99390919158361
"71","33  ",3612,"Y",22,0.00414553855256637,0.00609080841638981
"72","34  ",9664,"N",9647,1.81781865530035,0.998240894039735
"73","34  ",9664,"Y",17,0.00320337069971038,0.0017591059602649
"74","40  ",18229,"N",18213,3.43194062081324,0.999122277689396
"75","40  ",18229,"Y",16,0.00301493712913918,0.000877722310603983
"76","41  ",8596,"N",8571,1.61506413336574,0.997091670544439
"77","41  ",8596,"Y",25,0.00471083926427997,0.00290832945556073
"78","42  ",7737,"N",7723,1.45527246552137,0.99819051311878
"79","42  ",7737,"Y",14,0.00263806998799678,0.00180948688122011
"80","43  ",10630,"N",10597,1.99683054734299,0.99689557855127
"81","43  ",10630,"Y",33,0.00621830782884956,0.00310442144873001
"82","44  ",15378,"N",15343,2.8911362732739,0.997724021329172
"83","44  ",15378,"Y",35,0.00659517496999195,0.00227597867082846
"84","45  ",3990,"N",3978,0.749588743732228,0.996992481203008
"85","45  ",3990,"Y",12,0.00226120284685438,0.00300751879699248
"86","46  ",5619,"N",5608,1.05673546376328,0.998042356291155
"87","46  ",5619,"Y",11,0.00207276927628319,0.00195764370884499
"88","47  ",8917,"N",8871,1.6715942045371,0.994841314343389
"89","47  ",8917,"Y",46,0.00866794424627514,0.00515868565661097
"90","48  ",5408,"N",5387,1.01509164466705,0.996116863905325
"91","48  ",5408,"Y",21,0.00395710498199517,0.00388313609467456
"92","49  ",5771,"N",5761,1.08556580006068,0.998267198059262
"93","49  ",5771,"Y",10,0.00188433570571199,0.00173280194073817
"94","5   ",2756,"N",2754,0.518946053353081,0.999274310595065
"95","5   ",2756,"Y",2,0.000376867141142397,0.000725689404934688
"96","50  ",1818,"N",1810,0.34106476273387,0.995599559955996
"97","50  ",1818,"Y",8,0.00150746856456959,0.0044004400440044
"98","52  ",9735,"N",9718,1.83119743881091,0.998253723677452
"99","52  ",9735,"Y",17,0.00320337069971038,0.00174627632254751
"100","6   ",3600,"N",3591,0.676664951921174,0.9975
"101","6   ",3600,"Y",9,0.00169590213514079,0.0025
"102","60  ",7775,"N",7756,1.46149077335022,0.997556270096463
"103","60  ",7775,"Y",19,0.00358023784085278,0.00244372990353698
"104","61  ",6681,"N",6674,1.25760564999218,0.998952252656788
"105","61  ",6681,"Y",7,0.00131903499399839,0.00104774734321209
"106","62  ",4462,"N",4451,0.838717822612405,0.997534737785746
"107","62  ",4462,"Y",11,0.00207276927628319,0.0024652622142537
"108","63  ",3651,"N",3640,0.685898196879163,0.996987126814571
"109","63  ",3651,"Y",11,0.00207276927628319,0.00301287318542865
"110","66  ",3420,"N",3414,0.643312209930072,0.998245614035088
"111","66  ",3420,"Y",6,0.00113060142342719,0.00175438596491228
"112","67  ",10783,"N",10765,2.02848738719895,0.998330705740518
"113","67  ",10783,"Y",18,0.00339180427028158,0.00166929425948252
"114","68  ",2548,"N",2536,0.47786753496856,0.995290423861852
"115","68  ",2548,"Y",12,0.00226120284685438,0.00470957613814757
"116","69  ",5357,"N",5346,1.00736586827363,0.997946611909651
"117","69  ",5357,"Y",11,0.00207276927628319,0.00205338809034908
"118","7   ",3483,"N",3477,0.655183524876058,0.998277347114556
"119","7   ",3483,"Y",6,0.00113060142342719,0.00172265288544358
"120","70  ",11124,"N",11098,2.09123576619916,0.997662711254944
"121","70  ",11124,"Y",26,0.00489927283485117,0.00233728874505574
"122","71  ",4658,"N",4648,0.875839236014932,0.997853155860885
"123","71  ",4658,"Y",10,0.00188433570571199,0.0021468441391155
