"PCT","total","PF_PEPSP","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",3047,0.574157089530442,1
"2","10  ",2366,"N",2366,0.445833827971456,1
"3","100 ",4123,"N",4121,0.77653474432391,0.999514916323066
"4","100 ",4123,"Y",2,0.000376867141142397,0.000485083676934271
"5","101 ",9747,"N",9747,1.83666201235747,1
"6","102 ",6838,"N",6834,1.28775502128357,0.999415033635566
"7","102 ",6838,"Y",4,0.000753734282284795,0.000584966364434045
"8","103 ",12964,"N",12963,2.44266437531445,0.999922863313792
"9","103 ",12964,"Y",1,0.000188433570571199,7.71366862079605e-05
"10","104 ",4888,"N",4888,0.921063292952019,1
"11","105 ",8194,"N",8194,1.5440246772604,1
"12","106 ",5018,"N",5018,0.945559657126275,1
"13","107 ",4438,"N",4435,0.835702885483266,0.999324019828752
"14","107 ",4438,"Y",3,0.000565300711713596,0.00067598017124831
"15","108 ",4094,"N",4094,0.771447037918487,1
"16","109 ",9672,"N",9672,1.82252949456463,1
"17","110 ",9075,"N",9073,1.70965778579249,0.999779614325069
"18","110 ",9075,"Y",2,0.000376867141142397,0.000220385674931129
"19","111 ",3749,"N",3749,0.706437456071424,1
"20","112 ",2788,"N",2788,0.525352794752502,1
"21","113 ",8711,"N",8710,1.64125639967514,0.99988520261738
"22","113 ",8711,"Y",1,0.000188433570571199,0.000114797382619676
"23","114 ",8452,"N",8451,1.5924521048972,0.999881684808329
"24","114 ",8452,"Y",1,0.000188433570571199,0.000118315191670611
"25","115 ",8061,"N",8060,1.51877457880386,0.999875945912418
"26","115 ",8061,"Y",1,0.000188433570571199,0.000124054087582186
"27","120 ",12348,"N",12346,2.32640086227202,0.999838030450275
"28","120 ",12348,"Y",2,0.000376867141142397,0.000161969549724652
"29","122 ",6394,"N",6394,1.20484425023224,1
"30","123 ",1935,"N",1935,0.364618959055269,1
"31","13  ",3821,"N",3819,0.719627806011408,0.999476576812353
"32","13  ",3821,"Y",2,0.000376867141142397,0.000523423187647213
"33","14  ",8869,"N",8869,1.67121733739596,1
"34","17  ",1320,"N",1320,0.248732313153982,1
"35","18  ",2963,"N",2963,0.558328669602462,1
"36","19  ",4646,"N",4644,0.875085501732647,0.999569522169608
"37","19  ",4646,"Y",2,0.000376867141142397,0.000430477830391735
"38","20  ",3260,"N",3256,0.613539705779823,0.998773006134969
"39","20  ",3260,"Y",4,0.000753734282284795,0.00122699386503067
"40","22  ",588,"N",588,0.110798939495865,1
"41","23  ",10993,"N",10992,2.07126180771862,0.999909033021013
"42","23  ",10993,"Y",1,0.000188433570571199,9.09669789866279e-05
"43","24  ",4198,"N",4198,0.791044129257892,1
"44","25  ",6350,"N",6349,1.19636473955654,0.999842519685039
"45","25  ",6350,"Y",1,0.000188433570571199,0.00015748031496063
"46","26  ",5399,"N",5399,1.0173528475139,1
"47","28  ",6691,"N",6690,1.26062058712132,0.999850545508893
"48","28  ",6691,"Y",1,0.000188433570571199,0.000149454491107458
"49","30  ",6156,"N",6155,1.15980862686573,0.999837556855101
"50","30  ",6156,"Y",1,0.000188433570571199,0.000162443144899285
"51","32  ",10656,"N",10655,2.00775969443612,0.999906156156156
"52","32  ",10656,"Y",1,0.000188433570571199,9.38438438438438e-05
"53","33  ",3612,"N",3612,0.68062205690317,1
"54","34  ",9664,"N",9664,1.82102202600006,1
"55","40  ",18229,"N",18229,3.43495555794238,1
"56","41  ",8596,"N",8595,1.61958653905945,0.999883666821778
"57","41  ",8596,"Y",1,0.000188433570571199,0.000116333178222429
"58","42  ",7737,"N",7735,1.45753366836822,0.999741501874111
"59","42  ",7737,"Y",2,0.000376867141142397,0.000258498125888587
"60","43  ",10630,"N",10630,2.00304885517184,1
"61","44  ",15378,"N",15377,2.89754301467332,0.999934972037976
"62","44  ",15378,"Y",1,0.000188433570571199,6.50279620236702e-05
"63","45  ",3990,"N",3990,0.751849946579083,1
"64","46  ",5619,"N",5619,1.05880823303957,1
"65","47  ",8917,"N",8917,1.68026214878338,1
"66","48  ",5408,"N",5408,1.01904874964904,1
"67","49  ",5771,"N",5771,1.08745013576639,1
"68","5   ",2756,"N",2756,0.519322920494224,1
"69","50  ",1818,"N",1818,0.342572231298439,1
"70","52  ",9735,"N",9735,1.83440080951062,1
"71","6   ",3600,"N",3599,0.678172420485744,0.999722222222222
"72","6   ",3600,"Y",1,0.000188433570571199,0.000277777777777778
"73","60  ",7775,"N",7774,1.4648825776205,0.999871382636656
"74","60  ",7775,"Y",1,0.000188433570571199,0.000128617363344051
"75","61  ",6681,"N",6681,1.25892468498618,1
"76","62  ",4462,"N",4462,0.840790591888689,1
"77","63  ",3651,"N",3648,0.687405665443733,0.999178307313065
"78","63  ",3651,"Y",3,0.000565300711713596,0.000821692686935086
"79","66  ",3420,"N",3420,0.644442811353499,1
"80","67  ",10783,"N",10783,2.03187919146924,1
"81","68  ",2548,"N",2548,0.480128737815414,1
"82","69  ",5357,"N",5356,1.00925020397934,0.999813328355423
"83","69  ",5357,"Y",1,0.000188433570571199,0.000186671644577189
"84","7   ",3483,"N",3483,0.656314126299485,1
"85","70  ",11124,"N",11123,2.09594660546344,0.999910104279036
