"PCT","total","PF_WALL","FREQ","PERCENTAGE","normalisedFreq"
"1","1   ",3047,"N",2936,0.553240963197039,0.963570725303577
"2","1   ",3047,"Y",111,0.0209161263334031,0.0364292746964227
"3","10  ",2366,"N",2256,0.425106135208624,0.953508030431107
"4","10  ",2366,"Y",110,0.0207276927628319,0.0464919695688926
"5","100 ",4123,"N",4012,0.755995485131649,0.973077855930148
"6","100 ",4123,"Y",111,0.0209161263334031,0.026922144069852
"7","101 ",9747,"N",9626,1.81386155031836,0.987585923874013
"8","101 ",9747,"Y",121,0.022800462039115,0.0124140761259875
"9","102 ",6838,"N",6756,1.27305720277902,0.988008189529102
"10","102 ",6838,"Y",82,0.0154515527868383,0.0119918104708979
"11","103 ",12964,"N",12780,2.40818103189992,0.985806849737735
"12","103 ",12964,"Y",184,0.0346717769851006,0.0141931502622647
"13","104 ",4888,"N",4814,0.90711920872975,0.984860883797054
"14","104 ",4888,"Y",74,0.0139440842222687,0.015139116202946
"15","105 ",8194,"N",8031,1.5133100052573,0.980107395655358
"16","105 ",8194,"Y",163,0.0307146720031054,0.0198926043446424
"17","106 ",5018,"N",4935,0.929919670768866,0.983459545635711
"18","106 ",5018,"Y",83,0.0156399863574095,0.0165404543642886
"19","107 ",4438,"N",4325,0.814975192720434,0.974538080216314
"20","107 ",4438,"Y",113,0.0212929934745455,0.0254619197836863
"21","108 ",4094,"N",4043,0.761836925819356,0.987542745481192
"22","108 ",4094,"Y",51,0.00961011209913113,0.012457254518808
"23","109 ",9672,"N",9333,1.758650514141,0.964950372208437
"24","109 ",9672,"Y",339,0.0638789804236364,0.0350496277915633
"25","110 ",9075,"N",8882,1.67366697381339,0.978732782369146
"26","110 ",9075,"Y",193,0.0363676791202413,0.021267217630854
"27","111 ",3749,"N",3733,0.703422518942285,0.995732195252067
"28","111 ",3749,"Y",16,0.00301493712913918,0.00426780474793278
"29","112 ",2788,"N",2734,0.515177381941657,0.980631276901004
"30","112 ",2788,"Y",54,0.0101754128108447,0.0193687230989957
"31","113 ",8711,"N",8615,1.62335521047088,0.988979451268511
"32","113 ",8711,"Y",96,0.0180896227748351,0.0110205487314889
"33","114 ",8452,"N",8329,1.56946320928751,0.985447231424515
"34","114 ",8452,"Y",123,0.0231773291802574,0.0145527685754851
"35","115 ",8061,"N",7854,1.47995726326619,0.974320803870488
"36","115 ",8061,"Y",207,0.0390057491082381,0.0256791961295125
"37","120 ",12348,"N",12125,2.28475704317578,0.981940395205701
"38","120 ",12348,"Y",223,0.0420206862373773,0.0180596047942987
"39","122 ",6394,"N",6141,1.15717055687773,0.960431654676259
"40","122 ",6394,"Y",253,0.0476736933545133,0.039568345323741
"41","123 ",1935,"N",1910,0.359908119790989,0.987080103359173
"42","123 ",1935,"Y",25,0.00471083926427997,0.0129198966408269
"43","13  ",3821,"N",3671,0.69173963756687,0.960743260926459
"44","13  ",3821,"Y",150,0.0282650355856798,0.039256739073541
"45","14  ",8869,"N",8699,1.63918363039886,0.980832111850265
"46","14  ",8869,"Y",170,0.0320337069971038,0.019167888149735
"47","17  ",1320,"N",1254,0.236295697496283,0.95
"48","17  ",1320,"Y",66,0.0124366156576991,0.05
"49","18  ",2963,"N",2869,0.540615913968769,0.968275396557543
"50","18  ",2963,"Y",94,0.0177127556336927,0.031724603442457
"51","19  ",4646,"N",4477,0.843617095447256,0.963624623331898
"52","19  ",4646,"Y",169,0.0318452734265326,0.0363753766681016
"53","20  ",3260,"N",3148,0.593188880158134,0.965644171779141
"54","20  ",3260,"Y",112,0.0211045599039743,0.0343558282208589
"55","22  ",588,"N",585,0.110233638784151,0.994897959183674
"56","22  ",588,"Y",3,0.000565300711713596,0.00510204081632653
"57","23  ",10993,"N",10865,2.04733074425607,0.988356226689712
"58","23  ",10993,"Y",128,0.0241194970331134,0.0116437733102884
"59","24  ",4198,"N",4028,0.759010422260788,0.959504525964745
"60","24  ",4198,"Y",170,0.0320337069971038,0.0404954740352549
"61","25  ",6350,"N",6130,1.15509778760145,0.965354330708661
"62","25  ",6350,"Y",220,0.0414553855256637,0.0346456692913386
"63","26  ",5399,"N",5220,0.983623238381657,0.96684571216892
"64","26  ",5399,"Y",179,0.0337296091322446,0.0331542878310798
"65","28  ",6691,"N",6536,1.23160181725335,0.976834553878344
"66","28  ",6691,"Y",155,0.0292072034385358,0.023165446121656
"67","30  ",6156,"N",6000,1.13060142342719,0.974658869395711
"68","30  ",6156,"Y",156,0.029395637009107,0.0253411306042885
"69","32  ",10656,"N",10184,1.91900748269709,0.955705705705706
"70","32  ",10656,"Y",472,0.0889406453096058,0.0442942942942943
"71","33  ",3612,"N",3453,0.650661119182349,0.955980066445183
"72","33  ",3612,"Y",159,0.0299609377208206,0.0440199335548173
"73","34  ",9664,"N",9280,1.74866353490072,0.960264900662252
"74","34  ",9664,"Y",384,0.0723584910993403,0.0397350993377483
"75","40  ",18229,"N",17946,3.38162885747073,0.984475286631192
"76","40  ",18229,"Y",283,0.0533267004716492,0.0155247133688079
"77","41  ",8596,"N",7915,1.49145171107104,0.920777105630526
"78","41  ",8596,"Y",681,0.128323261558986,0.0792228943694742
"79","42  ",7737,"N",7387,1.39195878580944,0.954762827969497
"80","42  ",7737,"Y",350,0.0659517496999195,0.0452371720305028
"81","43  ",10630,"N",10444,1.9680002110456,0.982502351834431
"82","43  ",10630,"Y",186,0.035048644126243,0.0174976481655691
"83","44  ",15378,"N",14198,2.67537983496988,0.923267004812069
"84","44  ",15378,"Y",1180,0.222351613274014,0.0767329951879308
"85","45  ",3990,"N",3919,0.738471163068528,0.982205513784461
"86","45  ",3990,"Y",71,0.0133787835105551,0.0177944862155388
"87","46  ",5619,"N",5398,1.01716441394333,0.960669158213205
"88","46  ",5619,"Y",221,0.0416438190962349,0.0393308417867948
"89","47  ",8917,"N",8659,1.63164628757601,0.971066502186834
"90","47  ",8917,"Y",258,0.0486158612073693,0.0289334978131659
"91","48  ",5408,"N",5180,0.976085895558809,0.957840236686391
"92","48  ",5408,"Y",228,0.0429628540902333,0.0421597633136095
"93","49  ",5771,"N",5646,1.06389593944499,0.978339975740773
"94","49  ",5771,"Y",125,0.0235541963213998,0.0216600242592272
"95","5   ",2756,"N",2692,0.507263171977667,0.97677793904209
"96","5   ",2756,"Y",64,0.0120597485165567,0.02322206095791
"97","50  ",1818,"N",1702,0.32071393711218,0.936193619361936
"98","50  ",1818,"Y",116,0.021858294186259,0.0638063806380638
"99","52  ",9735,"N",9433,1.77749387119812,0.968977914740627
"100","52  ",9735,"Y",302,0.056906938312502,0.0310220852593734
