"PCT","FRISKED","CONTRABN","FREQ","PERCENTAGE"
"1","1   ","N","N",1916,0.361038721214417
"2","1   ","N","Y",8,0.00150746856456959
"3","1   ","Y","N",1092,0.205769459063749
"4","1   ","Y","Y",31,0.00584144068770716
"5","10  ","N","N",1220,0.229888956096862
"6","10  ","N","Y",9,0.00169590213514079
"7","10  ","Y","N",1056,0.198985850523186
"8","10  ","Y","Y",81,0.0152631192162671
"9","100 ","N","N",2024,0.381389546836106
"10","100 ","N","Y",12,0.00226120284685438
"11","100 ","Y","N",2032,0.382897015400676
"12","100 ","Y","Y",55,0.0103638463814159
"13","101 ","N","N",2386,0.44960249938288
"14","101 ","N","Y",19,0.00358023784085278
"15","101 ","Y","N",7248,1.36576651950005
"16","101 ","Y","Y",94,0.0177127556336927
"17","102 ","N","N",2838,0.534774473281062
"18","102 ","N","Y",12,0.00226120284685438
"19","102 ","Y","N",3796,0.71529383388827
"20","102 ","Y","Y",192,0.0361792455496701
"21","103 ","N","N",5700,1.07407135225583
"22","103 ","N","Y",48,0.00904481138741754
"23","103 ","Y","N",7023,1.32336896612153
"24","103 ","Y","Y",193,0.0363676791202413
"25","104 ","N","N",1474,0.277751083021947
"26","104 ","N","Y",4,0.000753734282284795
"27","104 ","Y","N",3327,0.626918489290378
"28","104 ","Y","Y",83,0.0156399863574095
"29","105 ","N","N",3554,0.66969290981004
"30","105 ","N","Y",18,0.00339180427028158
"31","105 ","Y","N",4285,0.807437849897586
"32","105 ","Y","Y",337,0.063502113282494
"33","106 ","N","N",2316,0.436412149442896
"34","106 ","N","Y",5,0.000942167852855993
"35","106 ","Y","N",2641,0.497653059878536
"36","106 ","Y","Y",56,0.0105522799519871
"37","107 ","N","N",1784,0.336165489899018
"38","107 ","N","Y",15,0.00282650355856798
"39","107 ","Y","N",2562,0.482766807803411
"40","107 ","Y","Y",77,0.0145093849339823
"41","108 ","N","N",2132,0.401740372457796
"42","108 ","N","Y",23,0.00433397212313757
"43","108 ","Y","N",1844,0.34747150413329
"44","108 ","Y","Y",95,0.0179011892042639
"45","109 ","N","N",3652,0.688159399726018
"46","109 ","N","Y",3,0.000565300711713596
"47","109 ","Y","N",5909,1.11345396850521
"48","109 ","Y","Y",108,0.0203508256216895
"49","110 ","N","N",1683,0.317133699271327
"50","110 ","N","Y",10,0.00188433570571199
"51","110 ","Y","N",7202,1.35709857525377
"52","110 ","Y","Y",180,0.0339180427028158
"53","111 ","N","N",1565,0.294898537943926
"54","111 ","N","Y",6,0.00113060142342719
"55","111 ","Y","N",2129,0.401175071746082
"56","111 ","Y","Y",49,0.00923324495798874
"57","112 ","N","N",1243,0.23422292822
"58","112 ","N","Y",6,0.00113060142342719
"59","112 ","Y","N",1435,0.27040217376967
"60","112 ","Y","Y",104,0.0195970913394047
"61","113 ","N","N",3152,0.593942614440418
"62","113 ","N","Y",38,0.00716047568170555
"63","113 ","Y","N",5356,1.00925020397934
"64","113 ","Y","Y",165,0.0310915391442478
"65","114 ","N","N",2944,0.554748431761609
"66","114 ","N","Y",14,0.00263806998799678
"67","114 ","Y","N",5383,1.01433791038476
"68","114 ","Y","Y",111,0.0209161263334031
"69","115 ","N","N",1861,0.350674874833001
"70","115 ","N","Y",11,0.00207276927628319
"71","115 ","Y","N",6024,1.1351238291209
"72","115 ","Y","Y",165,0.0310915391442478
"73","120 ","N","N",6467,1.21859990088394
"74","120 ","N","Y",38,0.00716047568170555
"75","120 ","Y","N",5631,1.06106943588642
"76","120 ","Y","Y",212,0.0399479169610941
"77","122 ","N","N",3484,0.656502559870056
"78","122 ","N","Y",27,0.00508770640542236
"79","122 ","Y","N",2779,0.523656892617361
"80","122 ","Y","Y",104,0.0195970913394047
"81","123 ","N","N",1062,0.200116451946613
"82","123 ","N","Y",3,0.000565300711713596
"83","123 ","Y","N",839,0.158095765709236
"84","123 ","Y","Y",31,0.00584144068770716
"85","13  ","N","N",2256,0.425106135208624
"86","13  ","N","Y",6,0.00113060142342719
"87","13  ","Y","N",1511,0.284723125133081
"88","13  ","Y","Y",48,0.00904481138741754
"89","14  ","N","N",6383,1.20277148095596
"90","14  ","N","Y",22,0.00414553855256637
"91","14  ","Y","N",2412,0.454501772217731
"92","14  ","Y","Y",52,0.00979854566970233
"93","17  ","N","N",909,0.17128611564922
"94","17  ","N","Y",9,0.00169590213514079
"95","17  ","Y","N",392,0.0738659596639099
"96","17  ","Y","Y",10,0.00188433570571199
"97","18  ","N","N",2051,0.386477253241528
"98","18  ","N","Y",3,0.000565300711713596
"99","18  ","Y","N",879,0.165633108532084
"100","18  ","Y","Y",30,0.00565300711713596
"101","19  ","N","N",3342,0.629744992848946
"102","19  ","N","Y",36,0.00678360854056315
"103","19  ","Y","N",1146,0.215944871874594
"104","19  ","Y","Y",122,0.0229888956096862
"105","20  ","N","N",2095,0.394768330346661
"106","20  ","N","Y",7,0.00131903499399839
"107","20  ","Y","N",1106,0.208407529051746
"108","20  ","Y","Y",52,0.00979854566970233
"109","22  ","N","N",396,0.0746196939461947
"110","22  ","N","Y",7,0.00131903499399839
"111","22  ","Y","N",179,0.0337296091322446
"112","22  ","Y","Y",6,0.00113060142342719
"113","23  ","N","N",5403,1.01810658179619
"114","23  ","N","Y",25,0.00471083926427997
"115","23  ","Y","N",5422,1.02168681963704
"116","23  ","Y","Y",143,0.0269460005916814
"117","24  ","N","N",2648,0.498972094872534
"118","24  ","N","Y",26,0.00489927283485117
"119","24  ","Y","N",1426,0.268706271634529
"120","24  ","Y","Y",98,0.0184664899159775
"121","25  ","N","N",2959,0.557574935320177
"122","25  ","N","Y",10,0.00188433570571199
"123","25  ","Y","N",3183,0.599784055128125
"124","25  ","Y","Y",198,0.0373098469730973
"125","26  ","N","N",2516,0.474098863557136
"126","26  ","N","Y",31,0.00584144068770716
"127","26  ","Y","N",2747,0.517627018359083
"128","26  ","Y","Y",105,0.0197855249099759
"129","28  ","N","N",3927,0.739978631633097
"130","28  ","N","Y",15,0.00282650355856798
"131","28  ","Y","N",2673,0.503682934136814
"132","28  ","Y","Y",76,0.0143209513634111
"133","30  ","N","N",3003,0.56586601242531
"134","30  ","N","Y",45,0.00847951067570394
"135","30  ","Y","N",2837,0.534586039710491
"136","30  ","Y","Y",271,0.0510654976247948
"137","32  ","N","N",4102,0.772954506483057
"138","32  ","N","Y",38,0.00716047568170555
"139","32  ","Y","N",6211,1.17036090681771
"140","32  ","Y","Y",305,0.0574722390242156
"141","33  ","N","N",1417,0.267010369499389
"142","33  ","N","Y",10,0.00188433570571199
"143","33  ","Y","N",2101,0.395898931770088
"144","33  ","Y","Y",84,0.0158284199279807
"145","34  ","N","N",4926,0.928223768633725
"146","34  ","N","Y",15,0.00282650355856798
"147","34  ","Y","N",4580,0.86302575321609
"148","34  ","Y","Y",143,0.0269460005916814
"149","40  ","N","N",5393,1.01622224609047
"150","40  ","N","Y",25,0.00471083926427997
"151","40  ","Y","N",12585,2.37143648563854
"152","40  ","Y","Y",226,0.0425859869490909
"153","41  ","N","N",3202,0.603364292968978
"154","41  ","N","Y",13,0.00244963641742558
"155","41  ","Y","N",5299,0.998509490456782
"156","41  ","Y","Y",82,0.0154515527868383
"157","42  ","N","N",2146,0.404378442445792
"158","42  ","N","Y",37,0.00697204211113435
"159","42  ","Y","N",5413,1.0199909175019
"160","42  ","Y","Y",141,0.026569133450539
"161","43  ","N","N",4332,0.816294227714433
"162","43  ","N","Y",23,0.00433397212313757
"163","43  ","Y","N",6134,1.15585152188373
"164","43  ","Y","Y",141,0.026569133450539
"165","44  ","N","N",3491,0.657821594864055
"166","44  ","N","Y",28,0.00527613997599356
"167","44  ","Y","N",11561,2.17848050937363
"168","44  ","Y","Y",298,0.0561532040302172
"169","45  ","N","N",2178,0.410408316704071
"170","45  ","N","Y",14,0.00263806998799678
"171","45  ","Y","N",1728,0.325613209947031
"172","45  ","Y","Y",70,0.0131903499399839
