"PCT","FRISKED","PISTOL","FREQ","PERCENTAGE"
"1","1   ","N","N",1924,0.362546189778986
"2","1   ","Y","N",1123,0.211610899751456
"3","10  ","N","N",1229,0.231584858232003
"4","10  ","Y","N",1137,0.214248969739453
"5","100 ","N","N",2036,0.383650749682961
"6","100 ","Y","N",2071,0.390245924652952
"7","100 ","Y","Y",16,0.00301493712913918
"8","101 ","N","N",2405,0.453182737223733
"9","101 ","Y","N",7324,1.38008747086346
"10","101 ","Y","Y",18,0.00339180427028158
"11","102 ","N","N",2850,0.537035676127916
"12","102 ","Y","N",3968,0.747704408026516
"13","102 ","Y","Y",20,0.00376867141142397
"14","103 ","N","N",5746,1.08273929650211
"15","103 ","N","Y",2,0.000376867141142397
"16","103 ","Y","N",7191,1.35502580597749
"17","103 ","Y","Y",25,0.00471083926427997
"18","104 ","N","N",1478,0.278504817304232
"19","104 ","Y","N",3410,0.642558475647787
"20","105 ","N","N",3571,0.67289628050975
"21","105 ","N","Y",1,0.000188433570571199
"22","105 ","Y","N",4606,0.867925026050941
"23","105 ","Y","Y",16,0.00301493712913918
"24","106 ","N","N",2321,0.437354317295752
"25","106 ","Y","N",2691,0.507074738407096
"26","106 ","Y","Y",6,0.00113060142342719
"27","107 ","N","N",1799,0.338991993457586
"28","107 ","Y","N",2638,0.497087759166822
"29","107 ","Y","Y",1,0.000188433570571199
"30","108 ","N","N",2155,0.406074344580933
"31","108 ","Y","N",1939,0.365372693337554
"32","109 ","N","N",3653,0.688347833296589
"33","109 ","N","Y",2,0.000376867141142397
"34","109 ","Y","N",6011,1.13267419270348
"35","109 ","Y","Y",6,0.00113060142342719
"36","110 ","N","N",1693,0.319018034977039
"37","110 ","Y","N",7378,1.3902628836743
"38","110 ","Y","Y",4,0.000753734282284795
"39","111 ","N","N",1571,0.296029139367353
"40","111 ","Y","N",2177,0.4102198831335
"41","111 ","Y","Y",1,0.000188433570571199
"42","112 ","N","N",1249,0.235353529643427
"43","112 ","Y","N",1536,0.289433964397361
"44","112 ","Y","Y",3,0.000565300711713596
"45","113 ","N","N",3188,0.600726222980981
"46","113 ","N","Y",2,0.000376867141142397
"47","113 ","Y","N",5503,1.03694993885331
"48","113 ","Y","Y",18,0.00339180427028158
"49","114 ","N","N",2958,0.557386501749606
"50","114 ","Y","N",5487,1.03393500172417
"51","114 ","Y","Y",7,0.00131903499399839
"52","115 ","N","N",1872,0.352747644109284
"53","115 ","Y","N",6183,1.16508476684172
"54","115 ","Y","Y",6,0.00113060142342719
"55","120 ","N","N",6505,1.22576037656565
"56","120 ","Y","N",5833,1.0991330171418
"57","120 ","Y","Y",10,0.00188433570571199
"58","122 ","N","N",3511,0.661590266275479
"59","122 ","Y","N",2880,0.542688683245052
"60","122 ","Y","Y",3,0.000565300711713596
"61","123 ","N","N",1065,0.200681752658327
"62","123 ","Y","N",869,0.163748772826372
"63","123 ","Y","Y",1,0.000188433570571199
"64","13  ","N","N",2262,0.426236736632051
"65","13  ","Y","N",1555,0.293014202238214
"66","13  ","Y","Y",4,0.000753734282284795
"67","14  ","N","N",6405,1.20691701950853
"68","14  ","Y","N",2461,0.46373501717572
"69","14  ","Y","Y",3,0.000565300711713596
"70","17  ","N","N",918,0.17298201778436
"71","17  ","Y","N",401,0.0755618617990507
"72","17  ","Y","Y",1,0.000188433570571199
"73","18  ","N","N",2053,0.386854120382671
"74","18  ","N","Y",1,0.000188433570571199
"75","18  ","Y","N",909,0.17128611564922
"76","19  ","N","N",3378,0.636528601389509
"77","19  ","Y","N",1267,0.238745333913709
"78","19  ","Y","Y",1,0.000188433570571199
"79","20  ","N","N",2102,0.39608736534066
"80","20  ","Y","N",1158,0.218206074721448
"81","22  ","N","N",403,0.0759387289401931
"82","22  ","Y","N",185,0.0348602105556718
"83","23  ","N","N",5428,1.02281742106047
"84","23  ","Y","N",5560,1.04769065237586
"85","23  ","Y","Y",5,0.000942167852855993
"86","24  ","N","N",2674,0.503871367707385
"87","24  ","Y","N",1521,0.286607460838793
"88","24  ","Y","Y",3,0.000565300711713596
"89","25  ","N","N",2969,0.559459271025889
"90","25  ","Y","N",3371,0.635209566395511
"91","25  ","Y","Y",10,0.00188433570571199
"92","26  ","N","N",2547,0.479940304244843
"93","26  ","Y","N",2842,0.535528207563347
"94","26  ","Y","Y",10,0.00188433570571199
"95","28  ","N","N",3942,0.742805135191665
"96","28  ","Y","N",2744,0.517061717647369
"97","28  ","Y","Y",5,0.000942167852855993
"98","30  ","N","N",3048,0.574345523101014
"99","30  ","Y","N",3105,0.585086236623572
"100","30  ","Y","Y",3,0.000565300711713596
"101","32  ","N","N",4139,0.779926548594191
"102","32  ","N","Y",1,0.000188433570571199
"103","32  ","Y","N",6505,1.22576037656565
"104","32  ","Y","Y",11,0.00207276927628319
"105","33  ","N","N",1427,0.268894705205101
"106","33  ","Y","N",2183,0.411350484556927
"107","33  ","Y","Y",2,0.000376867141142397
"108","34  ","N","N",4940,0.930861838621722
"109","34  ","N","Y",1,0.000188433570571199
"110","34  ","Y","N",4715,0.888464285243202
"111","34  ","Y","Y",8,0.00150746856456959
"112","40  ","N","N",5417,1.02074465178418
"113","40  ","N","Y",1,0.000188433570571199
"114","40  ","Y","N",12795,2.41100753545849
"115","40  ","Y","Y",16,0.00301493712913918
"116","41  ","N","N",3215,0.605813929386404
"117","41  ","Y","N",5376,1.01301887539076
"118","41  ","Y","Y",5,0.000942167852855993
"119","42  ","N","N",2183,0.411350484556927
"120","42  ","Y","N",5530,1.04203764525873
"121","42  ","Y","Y",24,0.00452240569370877
"122","43  ","N","N",4355,0.82062819983757
"123","43  ","Y","N",6259,1.17940571820513
"124","43  ","Y","Y",16,0.00301493712913918
"125","44  ","N","N",3519,0.663097734840048
"126","44  ","Y","N",11826,2.228415405575
"127","44  ","Y","Y",33,0.00621830782884956
"128","45  ","N","N",2192,0.413046386692068
"129","45  ","Y","N",1796,0.338426692745873
"130","45  ","Y","Y",2,0.000376867141142397
"131","46  ","N","N",1146,0.215944871874594
"132","46  ","Y","N",4467,0.841732759741545
"133","46  ","Y","Y",6,0.00113060142342719
"134","47  ","N","N",3399,0.640485706371504
"135","47  ","N","Y",11,0.00207276927628319
"136","47  ","Y","N",5484,1.03336970101245
"137","47  ","Y","Y",23,0.00433397212313757
"138","48  ","N","N",1837,0.346152469139292
"139","48  ","N","Y",2,0.000376867141142397
"140","48  ","Y","N",3562,0.67120037837461
"141","48  ","Y","Y",7,0.00131903499399839
"142","49  ","N","N",2413,0.454690205788302
"143","49  ","Y","N",3344,0.630121859990088
"144","49  ","Y","Y",14,0.00263806998799678
"145","5   ","N","N",1603,0.302059013625631
"146","5   ","Y","N",1151,0.21688703972745
"147","5   ","Y","Y",2,0.000376867141142397
"148","50  ","N","N",916,0.172605150643218
"149","50  ","Y","N",902,0.169967080655221
"150","52  ","N","N",3244,0.611278502932968
"151","52  ","Y","N",6476,1.22029580301908
"152","52  ","Y","Y",15,0.00282650355856798
"153","6   ","N","N",1859,0.350298007691858
"154","6   ","Y","N",1740,0.327874412793886
"155","6   ","Y","Y",1,0.000188433570571199
"156","60  ","N","N",3171,0.597522852281271
"157","60  ","Y","N",4593,0.865475389633515
"158","60  ","Y","Y",11,0.00207276927628319
"159","61  ","N","N",3866,0.728484183828254
"160","61  ","Y","N",2815,0.530440501157924
"161","62  ","N","N",2340,0.440934555136605
"162","62  ","Y","N",2119,0.39929073604037
"163","62  ","Y","Y",3,0.000565300711713596
"164","63  ","N","N",1171,0.220655711138874
"165","63  ","Y","N",2473,0.465996220022574
"166","63  ","Y","Y",7,0.00131903499399839
"167","66  ","N","N",1451,0.273417110898809
"168","66  ","Y","N",1968,0.370837266884119
"169","66  ","Y","Y",1,0.000188433570571199
"170","67  ","N","N",4550,0.857372746098954
"171","67  ","Y","N",6218,1.17167994181171
"172","67  ","Y","Y",15,0.00282650355856798
"173","68  ","N","N",1562,0.294333237232212
"174","68  ","Y","N",986,0.185795500583202
"175","69  ","N","N",2872,0.541181214680483
"176","69  ","Y","N",2484,0.468068989298858
"177","69  ","Y","Y",1,0.000188433570571199
"178","7   ","N","N",1209,0.227816186820579
"179","7   ","Y","N",2273,0.428309505908335
"180","7   ","Y","Y",1,0.000188433570571199
"181","70  ","N","N",4563,0.85982238251638
"182","70  ","Y","N",6559,1.23593578937649
"183","70  ","Y","Y",2,0.000376867141142397
"184","71  ","N","N",2260,0.425859869490909
"185","71  ","N","Y",5,0.000942167852855993
"186","71  ","Y","N",2383,0.449037198671166
"187","71  ","Y","Y",10,0.00188433570571199
"188","72  ","N","N",2393,0.450921534376878
"189","72  ","Y","N",2739,0.516119549794513
"190","72  ","Y","Y",7,0.00131903499399839
"191","73  ","N","N",12021,2.26515995183638
"192","73  ","N","Y",1,0.000188433570571199
"193","73  ","Y","N",9854,1.85682440440859
"194","73  ","Y","Y",25,0.00471083926427997
"195","75  ","N","N",11890,2.24047515409155
"196","75  ","N","Y",2,0.000376867141142397
"197","75  ","Y","N",12385,2.3337497715243
"198","75  ","Y","Y",29,0.00546457354656476
"199","76  ","N","N",2607,0.491246318479115
"200","76  ","N","Y",1,0.000188433570571199
"201","76  ","Y","N",1860,0.35048644126243
"202","76  ","Y","Y",8,0.00150746856456959
"203","77  ","N","N",4615,0.869620928186082
"204","77  ","N","Y",1,0.000188433570571199
"205","77  ","Y","N",5266,0.992291182627932
"206","77  ","Y","Y",21,0.00395710498199517
"207","78  ","N","N",2069,0.38986905751181
"208","78  ","Y","N",1205,0.227062452538294
"209","79  ","N","N",6845,1.28982779055985
"210","79  ","N","Y",1,0.000188433570571199
"211","79  ","Y","N",8312,1.5662598385878
"212","79  ","Y","Y",21,0.00395710498199517
"213","81  ","N","N",3643,0.686463497590877
"214","81  ","Y","N",5963,1.12362938131606
"215","81  ","Y","Y",29,0.00546457354656476
"216","83  ","N","N",4432,0.835137584771553
"217","83  ","N","Y",3,0.000565300711713596
"218","83  ","Y","N",7342,1.38347927513374
"219","83  ","Y","Y",18,0.00339180427028158
"220","84  ","N","N",2268,0.427367338055479
"221","84  ","Y","N",1539,0.289999265109075
"222","88  ","N","N",2910,0.548341690362188
"223","88  ","Y","N",3010,0.567185047419308
"224","88  ","Y","Y",1,0.000188433570571199
"225","9   ","N","N",2597,0.489361982773403
"226","9   ","Y","N",2621,0.493884388467112
"227","9   ","Y","Y",3,0.000565300711713596
"228","90  ","N","N",5289,0.99662515475107
"229","90  ","Y","N",4523,0.852285039693532
"230","90  ","Y","Y",19,0.00358023784085278
"231","94  ","N","N",1138,0.214437403310024
"232","94  ","Y","N",951,0.17920032561321
