"PCT","FRISKED","OTHRWEAP","FREQ","PERCENTAGE"
"1","1   ","N","N",1923,0.362357756208415
"2","1   ","N","Y",1,0.000188433570571199
"3","1   ","Y","N",1119,0.210857165469171
"4","1   ","Y","Y",4,0.000753734282284795
"5","10  ","N","N",1229,0.231584858232003
"6","10  ","Y","N",1128,0.212553067604312
"7","10  ","Y","Y",9,0.00169590213514079
"8","100 ","N","N",2036,0.383650749682961
"9","100 ","Y","N",2081,0.392130260358664
"10","100 ","Y","Y",6,0.00113060142342719
"11","101 ","N","N",2404,0.452994303653162
"12","101 ","N","Y",1,0.000188433570571199
"13","101 ","Y","N",7331,1.38140650585746
"14","101 ","Y","Y",11,0.00207276927628319
"15","102 ","N","N",2846,0.536281941845631
"16","102 ","N","Y",4,0.000753734282284795
"17","102 ","Y","N",3941,0.742616701621094
"18","102 ","Y","Y",47,0.00885637781684634
"19","103 ","N","N",5742,1.08198556221982
"20","103 ","N","Y",6,0.00113060142342719
"21","103 ","Y","N",7156,1.3484306310075
"22","103 ","Y","Y",60,0.0113060142342719
"23","104 ","N","N",1478,0.278504817304232
"24","104 ","Y","N",3404,0.64142787422436
"25","104 ","Y","Y",6,0.00113060142342719
"26","105 ","N","N",3572,0.673084714080322
"27","105 ","Y","N",4592,0.865286956062944
"28","105 ","Y","Y",30,0.00565300711713596
"29","106 ","N","N",2321,0.437354317295752
"30","106 ","Y","N",2683,0.505567269842526
"31","106 ","Y","Y",14,0.00263806998799678
"32","107 ","N","N",1798,0.338803559887015
"33","107 ","N","Y",1,0.000188433570571199
"34","107 ","Y","N",2630,0.495580290602253
"35","107 ","Y","Y",9,0.00169590213514079
"36","108 ","N","N",2154,0.405885911010362
"37","108 ","N","Y",1,0.000188433570571199
"38","108 ","Y","N",1927,0.3631114904907
"39","108 ","Y","Y",12,0.00226120284685438
"40","109 ","N","N",3655,0.688724700437731
"41","109 ","Y","N",5995,1.12965925557434
"42","109 ","Y","Y",22,0.00414553855256637
"43","110 ","N","N",1693,0.319018034977039
"44","110 ","Y","N",7362,1.38724794654516
"45","110 ","Y","Y",20,0.00376867141142397
"46","111 ","N","N",1571,0.296029139367353
"47","111 ","Y","N",2174,0.409654582421786
"48","111 ","Y","Y",4,0.000753734282284795
"49","112 ","N","N",1249,0.235353529643427
"50","112 ","Y","N",1530,0.288303362973934
"51","112 ","Y","Y",9,0.00169590213514079
"52","113 ","N","N",3188,0.600726222980981
"53","113 ","N","Y",2,0.000376867141142397
"54","113 ","Y","N",5498,1.03600777100045
"55","113 ","Y","Y",23,0.00433397212313757
"56","114 ","N","N",2958,0.557386501749606
"57","114 ","Y","N",5478,1.03223909958903
"58","114 ","Y","Y",16,0.00301493712913918
"59","115 ","N","N",1872,0.352747644109284
"60","115 ","Y","N",6167,1.16206982971258
"61","115 ","Y","Y",22,0.00414553855256637
"62","120 ","N","N",6504,1.22557194299508
"63","120 ","N","Y",1,0.000188433570571199
"64","120 ","Y","N",5816,1.09592964644209
"65","120 ","Y","Y",27,0.00508770640542236
"66","122 ","N","N",3510,0.661401832704907
"67","122 ","N","Y",1,0.000188433570571199
"68","122 ","Y","N",2875,0.541746515392196
"69","122 ","Y","Y",8,0.00150746856456959
"70","123 ","N","N",1065,0.200681752658327
"71","123 ","Y","N",864,0.162806604973516
"72","123 ","Y","Y",6,0.00113060142342719
"73","13  ","N","N",2259,0.425671435920338
"74","13  ","N","Y",3,0.000565300711713596
"75","13  ","Y","N",1544,0.290941432961931
"76","13  ","Y","Y",15,0.00282650355856798
"77","14  ","N","N",6396,1.20522111737339
"78","14  ","N","Y",9,0.00169590213514079
"79","14  ","Y","N",2443,0.460343212905438
"80","14  ","Y","Y",21,0.00395710498199517
"81","17  ","N","N",917,0.172793584213789
"82","17  ","N","Y",1,0.000188433570571199
"83","17  ","Y","N",395,0.0744312603756235
"84","17  ","Y","Y",7,0.00131903499399839
"85","18  ","N","N",2052,0.3866656868121
"86","18  ","N","Y",2,0.000376867141142397
"87","18  ","Y","N",906,0.170720814937506
"88","18  ","Y","Y",3,0.000565300711713596
"89","19  ","N","N",3378,0.636528601389509
"90","19  ","Y","N",1261,0.237614732490282
"91","19  ","Y","Y",7,0.00131903499399839
"92","20  ","N","N",2102,0.39608736534066
"93","20  ","Y","N",1152,0.217075473298021
"94","20  ","Y","Y",6,0.00113060142342719
"95","22  ","N","N",402,0.0757502953696219
"96","22  ","N","Y",1,0.000188433570571199
"97","22  ","Y","N",182,0.0342949098439582
"98","22  ","Y","Y",3,0.000565300711713596
"99","23  ","N","N",5427,1.0226289874899
"100","23  ","N","Y",1,0.000188433570571199
"101","23  ","Y","N",5554,1.04656005095244
"102","23  ","Y","Y",11,0.00207276927628319
"103","24  ","N","N",2670,0.5031176334251
"104","24  ","N","Y",4,0.000753734282284795
"105","24  ","Y","N",1518,0.28604216012708
"106","24  ","Y","Y",6,0.00113060142342719
"107","25  ","N","N",2968,0.559270837455318
"108","25  ","N","Y",1,0.000188433570571199
"109","25  ","Y","N",3366,0.634267398542655
"110","25  ","Y","Y",15,0.00282650355856798
"111","26  ","N","N",2544,0.479375003533129
"112","26  ","N","Y",3,0.000565300711713596
"113","26  ","Y","N",2844,0.535905074704489
"114","26  ","Y","Y",8,0.00150746856456959
"115","28  ","N","N",3939,0.742239834479952
"116","28  ","N","Y",3,0.000565300711713596
"117","28  ","Y","N",2738,0.515931116223942
"118","28  ","Y","Y",11,0.00207276927628319
"119","30  ","N","N",3047,0.574157089530442
"120","30  ","N","Y",1,0.000188433570571199
"121","30  ","Y","N",3093,0.582825033776718
"122","30  ","Y","Y",15,0.00282650355856798
"123","32  ","N","N",4139,0.779926548594191
"124","32  ","N","Y",1,0.000188433570571199
"125","32  ","Y","N",6492,1.22331074014822
"126","32  ","Y","Y",24,0.00452240569370877
"127","33  ","N","N",1427,0.268894705205101
"128","33  ","Y","N",2177,0.4102198831335
"129","33  ","Y","Y",8,0.00150746856456959
"130","34  ","N","N",4940,0.930861838621722
"131","34  ","N","Y",1,0.000188433570571199
"132","34  ","Y","N",4696,0.884884047402349
"133","34  ","Y","Y",27,0.00508770640542236
"134","40  ","N","N",5417,1.02074465178418
"135","40  ","N","Y",1,0.000188433570571199
"136","40  ","Y","N",12772,2.40667356333535
