"PCT","FRISKED","ARSTMADE","FREQ","PERCENTAGE"
"1","1   ","N","N",1855,0.349544273409574
"2","1   ","N","Y",69,0.0130019163694127
"3","1   ","Y","N",1003,0.188998871282912
"4","1   ","Y","Y",120,0.0226120284685438
"5","10  ","N","N",1179,0.222163179703443
"6","10  ","N","Y",50,0.00942167852855993
"7","10  ","Y","N",912,0.171851416360933
"8","10  ","Y","Y",225,0.0423975533785197
"9","100 ","N","N",1997,0.376301840430684
"10","100 ","N","Y",39,0.00734890925227675
"11","100 ","Y","N",1892,0.356516315520708
"12","100 ","Y","Y",195,0.0367445462613837
"13","101 ","N","N",2337,0.440369254424891
"14","101 ","N","Y",68,0.0128134827988415
"15","101 ","Y","N",7007,1.32035402899239
"16","101 ","Y","Y",335,0.0631252461413516
"17","102 ","N","N",2775,0.522903158335076
"18","102 ","N","Y",75,0.0141325177928399
"19","102 ","Y","N",3242,0.610901635791826
"20","102 ","Y","Y",746,0.140571443646114
"21","103 ","N","N",5589,1.05315522592243
"22","103 ","N","Y",159,0.0299609377208206
"23","103 ","Y","N",6332,1.19316136885683
"24","103 ","Y","Y",884,0.16657527638494
"25","104 ","N","N",1462,0.275489880175092
"26","104 ","N","Y",16,0.00301493712913918
"27","104 ","Y","N",2986,0.562662641725599
"28","104 ","Y","Y",424,0.0798958339221882
"29","105 ","N","N",3516,0.662532434128335
"30","105 ","N","Y",56,0.0105522799519871
"31","105 ","Y","N",3807,0.717366603164553
"32","105 ","Y","Y",815,0.153573360015527
"33","106 ","N","N",2288,0.431136009466903
"34","106 ","N","Y",33,0.00621830782884956
"35","106 ","Y","N",2426,0.457139842205728
"36","106 ","Y","Y",271,0.0510654976247948
"37","107 ","N","N",1720,0.324105741382462
"38","107 ","N","Y",79,0.0148862520751247
"39","107 ","Y","N",2398,0.451863702229734
"40","107 ","Y","Y",241,0.0454124905076589
"41","108 ","N","N",2135,0.402305673169509
"42","108 ","N","Y",20,0.00376867141142397
"43","108 ","Y","N",1748,0.329381881358455
"44","108 ","Y","Y",191,0.035990811979099
"45","109 ","N","N",3603,0.678926154768029
"46","109 ","N","Y",52,0.00979854566970233
"47","109 ","Y","N",5323,1.00303189615049
"48","109 ","Y","Y",694,0.130772897976412
