"BoroCT2010","ACS_p_white","ACS_p_black","ACS_p_hispanic","ACS_p_edu_grad_HS","ACS_p_household_white","ACS_p_household_black","ACS_p_household_asian","ACS_p_household_hispanic","ACS_p_US_citizen","ACS_p_home_lang_english","ACS_p_home_lang_spanish","ACS_p_home_lang_other","ACS_p_pop_poverty","ACS_p_unemployed","ACS_p_civilian_labor_force","ACS_p_poverty_under100","ACS_p_poverty_100to149","ACS_p_poverty_200over","ACS_p_income_indv_75000ormore","ACS_p_house_social_security","ACS_p_house_supplemental_security","ACS_p_house_public_assistance","ACS_p_house_SNAP","ACS_avg_per_capita_income","stops"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
1000201,21.22186495,6.145051804,50.76813148,24.22293676,29.60725076,4.833836858,35.04531722,52.4672709,77.99214005,15.99407627,45.53868937,38.46723436,99.74991068,5.964301263,41.05037513,41.33237822,14.21919771,30.47994269,1.418744626,28.49949648,20.24169184,8.559919436,38.36858006,11770,207
1000202,46.57736266,16.23448445,44.46356151,26.10218049,48.96694215,14.69893743,23.76033058,36.74734357,91.43418951,47.38409738,30.12173012,22.49417249,99.47154971,8.148041888,40.94875261,26.00691871,12.82431431,48.2332592,8.213523132,41.02715466,18.18181818,6.198347107,33.73671783,21238,276
1000600,8.99197639,7.673153186,21.32251222,24.74502805,10.83769634,5.209424084,63.92670157,22.7486911,79.35995573,18.28528073,19.85963581,61.85508346,97.97104123,4.511436703,43.15226413,38.47312435,16.3795538,31.20587405,2.592823066,34.5026178,16.78010471,4.554973822,30.34031414,14799,652
1000700,72.35462345,1.795360661,3.574833175,2.905167047,70.20089286,2.064732143,23.71651786,2.9296875,79.48840165,71.7519685,3.608923885,24.63910761,99.98411185,4.476618406,81.680966,9.597965994,2.606070237,84.79262673,46.81311366,2.9296875,0,0,0,101041,58
1000800,9.991126886,0.878438332,2.573203194,21.58281645,17.38925542,0.565504241,77.12064091,4.264844486,69.66282165,14.68674475,1.412902026,83.90035323,100,4.283759604,47.13398403,32.7595386,14.4809228,44.9068323,4.054478785,29.47690858,7.610744581,2.709707823,22.99717248,16986,267
1000900,78.46655791,10.60358891,14.02936379,9.898989899,83.58778626,3.435114504,8.778625954,5.72519084,85.31810767,75.21222411,9.847198642,14.94057725,99.34747145,8.199643494,79.44535073,14.12151067,0,83.25123153,36.61971831,2.290076336,0,0,0,92940,391
1001001,83.25358852,0.956937799,18.06220096,16.31445478,88.14016173,0.673854447,2.69541779,14.01617251,95.6937799,55.37564767,14.11917098,30.50518135,100,3.515625,41.02870813,6.339712919,1.495215311,87.5,27.1875,38.4097035,4.986522911,1.482479784,6.469002695,53064,8
1001002,25.17894067,18.37124225,61.85780181,28.35483141,32.38262396,18.03422554,10.7064502,64.32645897,90.67917926,32.04894989,51.33123863,16.61981148,99.04564975,10.40138943,35.94719262,36.69503774,14.79042878,35.15336438,1.379180049,39.35936814,28.91619131,11.23299693,41.2461606,12411,506
1001200,68.18299302,3.204962523,28.22434738,16.09042553,70.47175306,3.377984857,14.03610949,23.52941177,92.14267253,48.85993485,24.48425624,26.6558089,98.5267511,4.437596302,49.0307573,18.28436516,13.45750262,63.32633788,12.36802413,34.76994758,6.115317414,5.416423995,17.29761211,34056,145
1001300,65.72123177,3.889789303,9.049162615,7.116968699,72.19808862,3.779322328,16.89834926,6.211989574,78.76823339,67.23568282,4.074889868,28.68942731,99.70286332,8.746846089,87.03403566,10.32240585,2.465456516,85.09888919,56.18166527,0.99913119,0,0,0.477845352,106194,1092
